Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,19.029247760772705,,,,0.03
0/20,1/20,100,5000,18.77697229385376,,,,0.03
0/20,2/20,150,7500,18.628008604049683,,,,0.01
0/20,3/20,200,10000,19.371333360671997,9.478080417960882,0.2946131769567728,4.72419860959053,0.02
0/20,4/20,250,12500,54.841883182525635,841.0507550239563,17.587030643597245,29.07639746647328,0.05
0/20,5/20,300,15000,56.199036836624146,1523.5699499845505,46.855301009491086,12.605058271903545,0.06
0/20,6/20,350,17500,58.07693314552307,2066.8816611766815,62.596842255443335,13.017773157451302,0.02
0/20,7/20,400,20000,56.812835693359375,2414.3440051078796,77.76176346838474,15.42035701405257,0.02
0/20,8/20,450,22500,56.46887135505676,2614.407378435135,89.08734920248389,23.774036423303187,0.02
0/20,9/20,500,25000,57.51193428039551,2961.2162286043167,104.12111032754183,23.729052652604878,0.04
0/20,10/20,550,27500,56.99392127990723,3130.857605934143,104.97209445387125,31.23311407957226,0.03
0/20,11/20,600,30000,57.81534194946289,3354.1572489738464,115.37080140411854,32.3914970010519,0.02
0/20,12/20,650,32500,57.703906297683716,3508.051376104355,127.75651705265045,45.07407480850816,0.03
0/20,13/20,700,35000,58.01522469520569,3869.4340109825134,131.347982108593,57.75580230168998,0.09
0/20,14/20,750,37500,57.51241946220398,3964.5801000595093,131.94031532853842,59.32846122980118,0.01
0/20,15/20,800,40000,57.311185359954834,3949.526413679123,122.64509153366089,61.84258343838155,0.01
0/20,16/20,850,42500,57.90058898925781,4036.7638483047485,123.12225291877985,71.9955486562103,0.09
0/20,17/20,900,45000,59.40342164039612,4132.672567605972,121.30626419186592,85.54007986187935,0.02
0/20,18/20,950,47500,58.604092836380005,4196.888593912125,114.82345343381166,89.60262824594975,0.06
0/20,19/20,1000,50000,57.7578341960907,4351.54802775383,117.18964061141014,115.96657040715218,0.05
1/20,0/20,1050,52500,58.5444073677063,4350.3306040763855,127.46104437112808,147.09569944813848,0.06
1/20,1/20,1100,55000,57.85825753211975,4386.128848075867,133.75281557440758,144.29364016652107,0.08
1/20,2/20,1150,57500,58.00274610519409,4375.572339057922,135.90171729028225,165.72334350645542,0.08
1/20,3/20,1200,60000,57.63786697387695,4450.593928098679,140.19068925827742,175.16549979150295,0.06
1/20,4/20,1250,62500,56.87992477416992,4370.430613040924,139.05544341355562,182.48858722299337,0.08
1/20,5/20,1300,65000,57.472829818725586,4303.492771148682,138.62945491075516,203.54030012339354,0.12
1/20,6/20,1350,67500,57.945595264434814,4212.502384662628,139.8949445411563,218.94727321714163,0.09
1/20,7/20,1400,70000,60.78350210189819,4104.284229040146,145.98353278636932,215.12148331850767,0.14
1/20,8/20,1450,72500,58.32849860191345,4098.271433830261,148.00264711678028,245.94761266559362,0.08
1/20,9/20,1500,75000,59.3294095993042,4120.747652769089,146.10824428498745,262.8391204178333,0.16
1/20,10/20,1550,77500,58.25879907608032,4104.102459907532,149.89993933588266,264.213262334466,0.13
1/20,11/20,1600,80000,58.42992901802063,4117.538615465164,152.6389181241393,294.33914621174335,0.26
1/20,12/20,1650,82500,59.60791826248169,4118.263422727585,151.69813829660416,318.21948304772377,0.16
1/20,13/20,1700,85000,58.44744086265564,4106.25959777832,149.84552981704473,350.128167539835,0.16
1/20,14/20,1750,87500,59.07280921936035,4095.177350997925,149.68746725469828,372.2884990274906,0.1
1/20,15/20,1800,90000,58.214479207992554,4012.3506150245667,151.46454296261072,362.4586731940508,0.15
1/20,16/20,1850,92500,57.58139610290527,3924.9162623882294,152.66949168592691,350.3424372971058,0.2
1/20,17/20,1900,95000,58.396732568740845,3844.870104074478,156.31607880443335,366.03417506814003,0.1
1/20,18/20,1950,97500,58.20238542556763,3857.505772829056,153.30214089155197,360.82184191048145,0.24
1/20,19/20,2000,100000,58.04515337944031,3886.0173015594482,151.57173616439104,382.6035856157541,0.22
2/20,0/20,2050,102500,58.30093598365784,3840.22842502594,151.675059504807,394.3459502160549,0.13
2/20,1/20,2100,105000,57.85616445541382,3838.4635264873505,150.02486515790224,411.25562511384487,0.19
