Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,28.09790587425232,,,,0.05
0/20,1/20,100,5000,32.29248833656311,,,,0.09
0/20,2/20,150,7500,32.880194425582886,,,,0.08
0/20,3/20,200,10000,36.086345195770264,0.8300390923395753,0.6371511789038777,2.948808945591736,0.12
0/20,4/20,250,12500,191.33970141410828,191.0068207285367,3.854637261159951,93.77074201245796,0.12
0/20,5/20,300,15000,202.51250457763672,275.5158554315567,2.7328183200297644,74.69582754276144,0.08
0/20,6/20,350,17500,205.6099247932434,327.1509525477886,3.659706120262854,103.22726834628779,0.11
0/20,7/20,400,20000,211.8371844291687,366.2045381218195,5.275413289433345,104.85243941967178,0.07
0/20,8/20,450,22500,221.00793313980103,416.98188911378384,6.42043203805224,114.17330683428952,0.06
0/20,9/20,500,25000,224.10797691345215,506.5377511270344,14.86985030118376,151.9596448542896,0.1
0/20,10/20,550,27500,232.16631984710693,453.9994751140475,19.28469854206196,204.0717565990085,0.03
0/20,11/20,600,30000,231.95013904571533,500.3082884401083,14.784404221027216,151.58577619733694,0.06
0/20,12/20,650,32500,236.99513840675354,515.5343873240054,20.114396095450502,185.50460131308938,0.04
0/20,13/20,700,35000,246.354510307312,497.42744793370366,22.33479933885974,172.5740582358394,0.11
0/20,14/20,750,37500,250.93707180023193,450.89527144655585,35.515071525005624,375.36745054499886,0.06
0/20,15/20,800,40000,253.85619807243347,440.89962397515774,37.07920306579763,357.0099227325213,0.1
0/20,16/20,850,42500,259.4204421043396,493.30726750195026,22.70551534401602,154.79713215658148,0.07
0/20,17/20,900,45000,265.6940448284149,523.0816313773394,28.609453138742538,149.18245388523405,0.08
0/20,18/20,950,47500,272.42215633392334,606.6983588933945,23.42891531467194,210.1645729901743,0.06
0/20,19/20,1000,50000,277.0210611820221,605.1834767758846,20.276243030853948,265.33194075758706,0.08
1/20,0/20,1050,52500,284.64347648620605,551.187114842236,30.516225265757384,258.13019227566474,0.04
1/20,1/20,1100,55000,291.2062339782715,533.4487711563706,20.857966501840565,288.8906538299138,0.1
1/20,2/20,1150,57500,297.9907033443451,510.54664638638496,9.47847130428272,119.59217940251119,0.11
1/20,3/20,1200,60000,302.1878263950348,609.110945880413,26.951151834462507,142.1128328597888,0.07
1/20,4/20,1250,62500,305.65928864479065,574.858511634171,24.894483339317958,198.73031606608188,0.06
1/20,5/20,1300,65000,311.9271168708801,538.1227077394724,27.607744612159877,109.35272279397282,0.05
1/20,6/20,1350,67500,316.0217432975769,716.3907640576363,9.118230442789354,144.13471151848177,0.1
1/20,7/20,1400,70000,324.52449202537537,705.5805808007717,23.121615454774656,212.1481595620112,0.04
1/20,8/20,1450,72500,327.1101384162903,725.5529538393021,17.778812511567594,134.40368211412692,0.05
1/20,9/20,1500,75000,336.2514798641205,731.7939309030771,18.776417642540906,265.815909396606,0.05
1/20,10/20,1550,77500,343.93308186531067,671.1862055659294,18.233872849901672,344.5179442239195,0.05
1/20,11/20,1600,80000,354.96133732795715,632.314880952239,20.942246922468257,211.9488137337994,0.09
1/20,12/20,1650,82500,353.7819974422455,696.647848919034,21.13774429569594,200.9105191316105,0.06
1/20,13/20,1700,85000,357.1224355697632,727.6056876480579,32.59665758271876,209.44098352881338,0.09
1/20,14/20,1750,87500,366.3935971260071,646.3862396925688,23.21101089550757,285.8025445402533,0.06
1/20,15/20,1800,90000,373.7406396865845,785.8170163184404,47.27256892527657,180.69321685078876,0.06
1/20,16/20,1850,92500,372.3505115509033,695.2492462694645,43.54499469088387,191.67359892373793,0.06
1/20,17/20,1900,95000,383.86617374420166,669.3200512379408,38.802655580668215,263.8832113556964,0.07
1/20,18/20,1950,97500,389.54678320884705,612.1156076639891,27.597784192781546,131.62986575911646,0.08
1/20,19/20,2000,100000,392.4069895744324,621.9377860277891,33.183217870187946,230.65871845982133,0.04
2/20,0/20,2050,102500,395.6508061885834,665.4728499501944,42.85647281542333,212.1420574124047,0.09
2/20,1/20,2100,105000,402.98543548583984,488.32869394123554,42.20462640963524,177.56169204075832,0.05
2/20,2/20,2150,107500,410.92178082466125,537.3451965302229,37.99931630543142,180.8324304282251,0.12
2/20,3/20,2200,110000,417.4618465900421,575.7196358144283,23.70410696507588,137.31834726301236,0.12
2/20,4/20,2250,112500,424.1234881877899,613.3249039500952,17.394216462631448,201.44860092951467,0.04
2/20,5/20,2300,115000,428.845627784729,680.4667346179485,12.968756007481716,237.1054167255802,0.06
2/20,6/20,2350,117500,435.1497061252594,681.7200440317392,13.67862035953658,217.02087119113594,0.04
2/20,7/20,2400,120000,439.3594012260437,769.7227215766907,23.165860116281692,174.0317542030591,0.04
2/20,8/20,2450,122500,446.98494243621826,639.243503138423,26.89402815678659,306.8217646110618,0.03
2/20,9/20,2500,125000,449.94865250587463,779.0029852986336,37.2442686486811,267.98189927387733,0.11
2/20,10/20,2550,127500,457.5661315917969,685.104492738843,35.21766022948577,196.1771269326964,0.07
2/20,11/20,2600,130000,465.1532726287842,782.5460678339005,24.713637347857002,460.62062528877505,0.07
2/20,12/20,2650,132500,469.11299419403076,710.0894211828709,34.14566691813707,242.90614932065102,0.07
2/20,13/20,2700,135000,473.1993544101715,620.0663923472166,28.614895166130736,158.61831633180435,0.08
2/20,14/20,2750,137500,478.69126319885254,700.0064698308706,14.226549922392223,214.7952268316957,0.08
2/20,15/20,2800,140000,487.22952151298523,797.3702652305365,14.168100694851091,262.36447518909836,0.07
2/20,16/20,2850,142500,494.4691457748413,825.5067115277052,18.73273823816271,282.1478329648603,0.03
2/20,17/20,2900,145000,498.15601801872253,866.9711923450232,14.300327277351244,240.07072600066238,0.11
2/20,18/20,2950,147500,507.6998944282532,848.1251076310873,26.167513635071373,354.1007091547913,0.03
2/20,19/20,3000,150000,513.7027831077576,1012.0912483483553,36.18482333341308,708.5440183465416,0.1
3/20,0/20,3050,152500,519.6594734191895,717.484929934144,26.69476789172768,151.2595692804672,0.08
3/20,1/20,3100,155000,520.5312206745148,1014.5611719042063,31.23916481764536,309.943786736653,0.06
3/20,2/20,3150,157500,535.0711767673492,844.6831791102886,29.31759584241081,290.9007047453297,0.05
3/20,3/20,3200,160000,542.201632976532,770.4372569322586,40.487011595738295,169.77666148189434,0.05
3/20,4/20,3250,162500,544.8048236370087,758.5167392492294,26.861550032717787,206.4782928008857,0.09
3/20,5/20,3300,165000,553.9207186698914,734.1363020986319,30.33504311561319,310.1666527614177,0.06
3/20,6/20,3350,167500,561.9490075111389,898.2067082077265,28.146907395471317,263.0368324581058,0.12
