Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,21.502411603927612,,,,0.04
0/20,1/20,100,5000,21.33935284614563,,,,0.11
0/20,2/20,150,7500,21.323601961135864,,,,0.09
0/20,3/20,200,10000,21.394526481628418,9.031635701656342,0.1625228871125728,5.089502424001694,0.1
0/20,4/20,250,12500,57.799351930618286,797.0861830413342,10.687142475508153,22.9190529063344,0.14
0/20,5/20,300,15000,61.35852336883545,1381.7689738869667,38.82829080056399,12.653487326577306,0.01
0/20,6/20,350,17500,58.500911235809326,1900.4963966608047,52.25958530604839,14.884937855415046,0.04
0/20,7/20,400,20000,57.651177406311035,2300.6334606409073,63.108781203627586,16.57533897878602,0.12
0/20,8/20,450,22500,58.812790632247925,2606.13377392292,75.14011791348457,21.09941982664168,0.05
0/20,9/20,500,25000,58.32230091094971,3010.3660368919373,84.7188830524683,26.038594794925302,0.08
0/20,10/20,550,27500,57.94697713851929,3165.7669744491577,103.75780870765448,29.145185978151858,0.11
0/20,11/20,600,30000,57.69737911224365,3310.545403957367,103.83821368217468,43.169206148944795,0.09
0/20,12/20,650,32500,58.2911856174469,3402.9776754379272,106.07646016776562,43.84862651862204,0.1
0/20,13/20,700,35000,58.8848659992218,3574.437454223633,110.04787514358759,59.85500260442495,0.07
0/20,14/20,750,37500,59.885854959487915,3725.5522887706757,110.84940430521965,62.1208763346076,0.04
0/20,15/20,800,40000,62.0712354183197,3721.2858412265778,110.18201527744532,76.51559045165777,0.07
0/20,16/20,850,42500,64.15065908432007,3763.9935398101807,117.30746056884527,103.94465333223343,0.1
0/20,17/20,900,45000,60.55897855758667,3727.72877573967,129.17801306396723,111.64901658892632,0.2
0/20,18/20,950,47500,62.54408001899719,3615.3731191158295,141.71590245515108,133.23250410705805,0.24
0/20,19/20,1000,50000,60.57320785522461,3457.8960132598877,137.9281851425767,133.63610418140888,0.38
1/20,0/20,1050,52500,60.770535707473755,3306.36505651474,139.89532535523176,156.55586428940296,0.38
1/20,1/20,1100,55000,60.536916732788086,3148.302039384842,140.21272760629654,152.4340333044529,0.42
1/20,2/20,1150,57500,61.03310585021973,3042.474126815796,140.2870672121644,154.34348785877228,0.55
1/20,3/20,1200,60000,62.173073530197144,2972.998084783554,143.8855487331748,168.50588749349117,0.48
1/20,4/20,1250,62500,61.1695876121521,2962.478444337845,145.47445464134216,182.53921645879745,0.65
1/20,5/20,1300,65000,64.26052141189575,2894.2314838171005,150.7821184322238,172.43446551263332,0.57
1/20,6/20,1350,67500,61.14076566696167,2759.065934419632,150.2938782274723,176.78853437304497,0.73
1/20,7/20,1400,70000,60.99153757095337,2733.4231919050217,151.27441150695086,187.65328816324472,0.67
1/20,8/20,1450,72500,61.47265100479126,2656.7162647247314,150.3220997452736,171.87142588198185,0.7
1/20,9/20,1500,75000,61.42292857170105,2611.041003704071,148.22449047118425,181.18116328120232,0.86
1/20,10/20,1550,77500,60.94713473320007,2583.189136147499,147.9750918224454,182.55944844335318,0.8
1/20,11/20,1600,80000,59.203203439712524,2560.9045536518097,145.3118059411645,179.0313804447651,0.81
1/20,12/20,1650,82500,58.9261577129364,2521.4813355207443,146.11658173054457,174.1189224049449,0.9
1/20,13/20,1700,85000,59.41346597671509,2510.743698000908,145.49643094837666,183.43393161147833,0.81
1/20,14/20,1750,87500,59.54316234588623,2506.2813736200333,145.22857093811035,169.2192875444889,0.87
1/20,15/20,1800,90000,59.02003312110901,2503.4229979515076,144.54098082333803,175.58211302757263,0.86
1/20,16/20,1850,92500,59.18780827522278,2510.2782839536667,147.32662916183472,173.16452081501484,0.84
1/20,17/20,1900,95000,59.19380760192871,2486.777685880661,145.35530814528465,171.09986213594675,0.85
1/20,18/20,1950,97500,58.54620409011841,2517.939477324486,145.07173382490873,182.6561216711998,0.86
1/20,19/20,2000,100000,58.28112983703613,2503.03329372406,143.47462662309408,186.3065381422639,0.86
2/20,0/20,2050,102500,58.11130976676941,2491.0215430259705,142.8362798988819,183.96937441825867,0.86
2/20,1/20,2100,105000,58.4808304309845,2476.4671216011047,142.67362325638533,167.61914245784283,0.89
2/20,2/20,2150,107500,58.026987075805664,2432.8919336795807,143.23756446689367,167.49629113078117,0.92
2/20,3/20,2200,110000,58.947088956832886,2371.4124413728714,143.2453035712242,171.18572042137384,0.98
2/20,4/20,2250,112500,59.62407565116882,2350.7476029396057,142.65374376624823,165.6620603427291,0.92
2/20,5/20,2300,115000,58.33788728713989,2339.2938799858093,141.53458353877068,151.0551765486598,0.87
2/20,6/20,2350,117500,58.6750590801239,2372.2359722852707,140.13371162116528,163.34462840855122,0.92
2/20,7/20,2400,120000,59.0297794342041,2363.2629475593567,140.89658161252737,166.3019056841731,0.96
2/20,8/20,2450,122500,58.299492835998535,2347.193363904953,139.648923933506,163.74771758913994,0.95
2/20,9/20,2500,125000,58.37243461608887,2345.8488923311234,137.84068866074085,157.0467629469931,0.94
2/20,10/20,2550,127500,58.35432171821594,2351.0392339229584,136.3586736768484,166.9993679150939,0.94
2/20,11/20,2600,130000,58.44168448448181,2357.2276986837387,136.91493589431047,161.16289369016886,0.97
2/20,12/20,2650,132500,58.7945032119751,2356.8415669202805,136.21724182367325,167.34886734187603,0.92
2/20,13/20,2700,135000,58.391966104507446,2350.055308699608,136.09719764441252,166.1531118415296,0.92
2/20,14/20,2750,137500,58.358497619628906,2369.661046743393,137.35671339929104,170.36383970826864,0.96
2/20,15/20,2800,140000,63.326770067214966,2358.1845331192017,136.90849256515503,173.72334284335375,0.93
2/20,16/20,2850,142500,61.4257607460022,2353.883944749832,135.97867288440466,165.81382723152637,0.98
2/20,17/20,2900,145000,60.27159285545349,2363.873499393463,137.0877834185958,164.30192015320063,0.92
2/20,18/20,2950,147500,60.209233045578,2373.515854358673,138.19821318984032,157.77527607232332,0.95
