Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,5000,55.311474561691284,,,,0.0
0/20,1/20,100,10000,56.33915400505066,5.769272729754448,0.228019826579839,2.973518446087837,0.0
0/20,2/20,150,15000,92.96121907234192,560.6737484782934,3.816846968838945,18.264323908369988,0.0
0/20,3/20,200,20000,89.7013738155365,1052.9538898468018,23.63460518186912,15.522309500724077,0.0
0/20,4/20,250,25000,86.02483201026917,1487.6897025108337,34.11270092241466,15.768705271650106,0.0
0/20,5/20,300,30000,84.63697028160095,1895.2262731790543,31.581090330146253,14.459915808634833,0.0
0/20,6/20,350,35000,90.80731964111328,2282.3973013162613,33.57444422598928,14.279526299331337,0.0
0/20,7/20,400,40000,90.9408392906189,2683.7199296951294,35.93266870453954,17.80856535350904,0.0
0/20,8/20,450,45000,90.24569964408875,3042.9928941726685,36.50197807699442,17.635640039574355,0.0
0/20,9/20,500,50000,91.12383818626404,3351.6601178646088,36.24105346854776,16.786630283109844,0.0
0/20,10/20,550,55000,91.51109981536865,3665.334014892578,36.07820516079664,16.933110491838306,0.0
0/20,11/20,600,60000,88.97759342193604,3977.8766865730286,35.53991651069373,15.641538335941732,0.0
0/20,12/20,650,65000,88.85898470878601,4254.109084844589,34.65265238657594,15.671236264519393,0.0
0/20,13/20,700,70000,93.6519660949707,4567.398211717606,34.07347546797246,19.005546618718654,0.0
0/20,14/20,750,75000,90.22228074073792,4810.435694217682,34.99324813298881,18.21929662534967,0.0
0/20,15/20,800,80000,91.90099692344666,5044.928265571594,35.84670333378017,17.508094967808574,0.0
0/20,16/20,850,85000,93.37121081352234,5280.910847187042,34.119111467152834,16.476153701543808,0.0
0/20,17/20,900,90000,91.74008822441101,5512.480929851532,34.574906596913934,16.554145930800587,0.0
0/20,18/20,950,95000,87.27040910720825,5720.996092796326,34.77824646793306,16.49361774418503,0.0
0/20,19/20,1000,100000,89.30941200256348,5923.962491035461,35.06306357122958,17.659775323001668,0.0
1/20,0/20,1050,105000,89.19862532615662,6094.838003873825,35.97758664097637,16.909264410845935,0.0
1/20,1/20,1100,110000,88.68554639816284,6249.098593711853,35.995811488479376,18.773658839520067,0.0
1/20,2/20,1150,115000,90.17084622383118,6461.5564341545105,35.4917920101434,19.043824275024235,0.0
1/20,3/20,1200,120000,89.29400873184204,6626.171088218689,35.03972719516605,19.029967958573252,0.0
1/20,4/20,1250,125000,88.57062768936157,6809.749948501587,34.58924237731844,20.064509357791394,0.0
1/20,5/20,1300,130000,88.10325908660889,6925.015688896179,35.77502763643861,20.1667371946387,0.0
1/20,6/20,1350,135000,89.54721426963806,7146.147464752197,35.54429006297141,23.178140878211707,0.0
