Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,24.956279039382935,,,,0.0
0/20,1/20,100,5000,28.888025760650635,,,,0.0
0/20,2/20,150,7500,27.657503366470337,,,,0.02
0/20,3/20,200,10000,26.51147699356079,10.86003877595067,0.25326347444206476,5.749650225043297,0.0
0/20,4/20,250,12500,62.40615725517273,1180.2464444041252,6.685914446366951,40.802614509128034,0.0
0/20,5/20,300,15000,62.556719064712524,2276.297439932823,12.746685516089201,26.650958456099033,0.02
0/20,6/20,350,17500,66.21963763237,3097.8416023254395,48.77869677171111,39.85518210567534,0.01
0/20,7/20,400,20000,67.31624436378479,3699.381227493286,77.74124824628234,50.09712543338537,0.01
0/20,8/20,450,22500,64.33167219161987,4216.3854060173035,90.48105900362134,65.15265509858727,0.0
0/20,9/20,500,25000,64.12514090538025,4624.1270961761475,96.97732485830784,80.9041835963726,0.0
0/20,10/20,550,27500,63.71610069274902,4917.794693470001,110.44464805722237,92.23532172292471,0.02
0/20,11/20,600,30000,64.01000785827637,5176.09471321106,125.76298312097788,97.59149135649204,0.0
0/20,12/20,650,32500,63.49393081665039,5529.900246620178,123.77298802137375,113.44157174229622,0.02
0/20,13/20,700,35000,63.56531381607056,5755.731155872345,116.89784257858992,128.50156216695905,0.0
0/20,14/20,750,37500,63.8647940158844,5993.89670753479,120.84204193204641,145.86573559045792,0.0
0/20,15/20,800,40000,64.59092664718628,6199.894952297211,127.10920824110508,168.28512379527092,0.0
0/20,16/20,850,42500,65.2196581363678,6403.361120700836,134.88259150087833,191.17804434150457,0.01
0/20,17/20,900,45000,64.9717481136322,6545.542459487915,133.0794840157032,228.63292694091797,0.02
0/20,18/20,950,47500,64.57097172737122,6609.193430900574,134.8297571465373,249.37055049836636,0.01
0/20,19/20,1000,50000,65.14447402954102,6794.504592895508,136.40017058700323,277.3679196834564,0.03
1/20,0/20,1050,52500,64.71117210388184,7021.234081268311,130.53172752261162,313.2815034389496,0.01
1/20,1/20,1100,55000,65.2317259311676,7186.694265365601,134.40038123726845,352.6767800152302,0.02
1/20,2/20,1150,57500,66.68374395370483,7365.756059646606,133.3890259116888,367.4388443082571,0.04
1/20,3/20,1200,60000,66.20009684562683,7477.262149810791,135.5858110114932,375.51580683887005,0.01
1/20,4/20,1250,62500,64.27230930328369,7608.523186206818,133.68600054830313,379.75765623152256,0.01
1/20,5/20,1300,65000,64.83001255989075,7744.941617965698,134.91458962112665,404.86480912566185,0.01
1/20,6/20,1350,67500,67.96654653549194,7868.562373161316,138.60461182147264,417.9387257993221,0.02
1/20,7/20,1400,70000,66.90091347694397,7907.991599082947,141.01653331518173,464.40695618093014,0.02
1/20,8/20,1450,72500,66.1432716846466,7895.911629676819,145.68911769241095,463.5062910169363,0.0
1/20,9/20,1500,75000,67.26350545883179,7890.52067565918,147.9715951681137,494.88711039721966,0.04
1/20,10/20,1550,77500,67.9101779460907,7947.2042870521545,144.3185704573989,551.0231408327818,0.07
1/20,11/20,1600,80000,66.40523624420166,7956.234205245972,139.99998778104782,535.176115617156,0.02
1/20,12/20,1650,82500,66.07686805725098,8004.781198501587,137.7942910939455,564.6287470459938,0.05
1/20,13/20,1700,85000,66.15271925926208,7992.634359836578,136.09383825957775,589.8623014390469,0.04
1/20,14/20,1750,87500,65.56286144256592,8031.677587032318,140.67275090515614,583.3142729848623,0.08
1/20,15/20,1800,90000,65.90628433227539,8002.277042388916,144.10521373152733,594.967980414629,0.05
1/20,16/20,1850,92500,64.49042391777039,7952.147258758545,144.86643271893263,595.9331716895103,0.03
1/20,17/20,1900,95000,67.21385645866394,7983.323981761932,145.60200778394938,596.7229953855276,0.01
1/20,18/20,1950,97500,67.30637574195862,7958.000942707062,139.19355890899897,602.6202343702316,0.02
1/20,19/20,2000,100000,66.59413528442383,7993.902328491211,136.85843540728092,606.8135261237621,0.07
2/20,0/20,2050,102500,68.85839653015137,8046.606316566467,135.39782459288836,577.884354814887,0.05
2/20,1/20,2100,105000,67.81945013999939,8146.04545211792,130.34922719746828,631.3329521268606,0.02
2/20,2/20,2150,107500,67.67794823646545,8199.482137680054,131.33462332189083,641.6294327229261,0.01
2/20,3/20,2200,110000,65.99494767189026,8276.584249973297,133.06775257736444,626.3793446570635,0.06
2/20,4/20,2250,112500,65.86694002151489,8260.377012252808,137.19469279795885,675.3953799307346,0.07
2/20,5/20,2300,115000,65.7407455444336,8281.495236873627,135.0669335797429,639.6759332120419,0.07
2/20,6/20,2350,117500,65.98611664772034,8248.587943077087,129.77396052330732,647.0036813616753,0.03
2/20,7/20,2400,120000,66.82284760475159,8264.343787193298,130.82930491119623,653.1802834868431,0.08
2/20,8/20,2450,122500,66.30957317352295,8294.77072095871,131.24452634900808,667.3166828155518,0.09
2/20,9/20,2500,125000,66.43250274658203,8379.018411636353,126.00605224072933,649.4655023962259,0.07
2/20,10/20,2550,127500,65.9279944896698,8470.189190864563,124.00025916844606,642.9395691752434,0.1
2/20,11/20,2600,130000,66.45885157585144,8535.988765716553,122.34319138526917,656.0338070988655,0.0
2/20,12/20,2650,132500,66.33648753166199,8580.12396144867,120.76167034357786,636.7293566614389,0.14
2/20,13/20,2700,135000,66.147709608078,8640.845227241516,123.19892525672913,633.6213684082031,0.1
2/20,14/20,2750,137500,66.8755533695221,8611.625374794006,123.88014002144337,652.4064930975437,0.08
2/20,15/20,2800,140000,67.86816549301147,8674.886408805847,122.45479148626328,644.1850273609161,0.14
2/20,16/20,2850,142500,66.81387090682983,8719.177855968475,121.70217834413052,618.0837506055832,0.08
2/20,17/20,2900,145000,65.87397384643555,8755.151373386383,123.0819741114974,643.3431084007025,0.1
2/20,18/20,2950,147500,66.18749141693115,8784.171579837799,119.81906881928444,646.8143448233604,0.13
2/20,19/20,3000,150000,65.89613318443298,8868.008992671967,119.39441207051277,674.8037324845791,0.14
3/20,0/20,3050,152500,66.39177441596985,8933.502827644348,117.9747648909688,675.8799456357956,0.1
3/20,1/20,3100,155000,65.73787879943848,9057.559309005737,122.18084512650967,683.1699981689453,0.12
3/20,2/20,3150,157500,65.73510408401489,9098.047839641571,120.77397590875626,680.4101324677467,0.27
3/20,3/20,3200,160000,65.14784383773804,9136.328624248505,120.54332729429007,703.3304959535599,0.15
3/20,4/20,3250,162500,64.97948718070984,9198.372094154358,123.67655932158232,711.1983090639114,0.1
3/20,5/20,3300,165000,65.4118402004242,9257.080246925354,118.89784540981054,702.9549570530653,0.09
3/20,6/20,3350,167500,65.68640065193176,9309.813434123993,117.00139339268208,704.7503970861435,0.05
3/20,7/20,3400,170000,66.10450911521912,9379.900779247284,117.35849159955978,755.0843425095081,0.18
3/20,8/20,3450,172500,68.08327174186707,9449.186756134033,114.92889638990164,758.5333814322948,0.05
3/20,9/20,3500,175000,67.23014712333679,9521.693335056305,117.05046413093805,795.010927900672,0.12
3/20,10/20,3550,177500,66.45292520523071,9588.045726776123,116.45392047613859,827.191447198391,0.1
3/20,11/20,3600,180000,66.55540156364441,9600.854892730713,115.73143697530031,802.6099231541157,0.17
3/20,12/20,3650,182500,67.89717555046082,9610.166400909424,120.79007597267628,825.5333477854729,0.1
3/20,13/20,3700,185000,67.72853136062622,9592.101784706116,121.86151871085167,837.2025445103645,0.15
3/20,14/20,3750,187500,65.77199387550354,9592.71762418747,122.8242757320404,890.9054172635078,0.08
3/20,15/20,3800,190000,66.31701421737671,9593.07633304596,122.2934159040451,909.3720334768295,0.11
3/20,16/20,3850,192500,66.18463730812073,9506.725214958191,121.58366793394089,883.510266751051,0.14
3/20,17/20,3900,195000,66.9502637386322,9511.361484527588,120.29762466996908,902.1623283624649,0.12
3/20,18/20,3950,197500,66.18026423454285,9508.612344741821,118.1222390383482,871.6768292188644,0.13
3/20,19/20,4000,200000,68.22031283378601,9552.126702308655,116.27134282141924,853.8429881334305,0.14
4/20,0/20,4050,202500,67.57287788391113,9572.758136749268,114.38312298804522,871.259210139513,0.13
4/20,1/20,4100,205000,65.70192646980286,9623.986533164978,116.50410274416208,879.6108028590679,0.18
4/20,2/20,4150,207500,67.55707144737244,9682.613028049469,117.46889371424913,910.4189613163471,0.16
4/20,3/20,4200,210000,67.6109790802002,9686.457354545593,119.63628005236387,859.5277065038681,0.11
4/20,4/20,4250,212500,66.41091632843018,9700.562041282654,122.91611658036709,911.1654426455498,0.23
4/20,5/20,4300,215000,65.84324789047241,9769.702805042267,121.06168611347675,909.5472027361393,0.28
4/20,6/20,4350,217500,66.53006768226624,9747.230677127838,122.89789226651192,929.4187627136707,0.19
4/20,7/20,4400,220000,66.67875576019287,9772.615938663483,121.60141870379448,894.3468165397644,0.26
4/20,8/20,4450,222500,66.7144296169281,9774.738156318665,119.60958514362574,885.2019782960415,0.21
4/20,9/20,4500,225000,66.60598850250244,9745.197546482086,119.4576383009553,884.0483387708664,0.2
4/20,10/20,4550,227500,66.58151841163635,9775.335646152496,117.26219391822815,862.189226359129,0.17
4/20,11/20,4600,230000,67.0964047908783,9758.619335651398,119.09058028459549,861.1860693693161,0.32
4/20,12/20,4650,232500,67.00212669372559,9748.71318244934,123.6880330517888,871.3671008944511,0.21
4/20,13/20,4700,235000,67.83603048324585,9741.431829929352,122.93784277141094,877.422390639782,0.27
4/20,14/20,4750,237500,67.10730314254761,9735.539158344269,121.9755976870656,864.7960478663445,0.25
4/20,15/20,4800,240000,67.49324154853821,9828.854315280914,118.96036358177662,851.5343146622181,0.23
4/20,16/20,4850,242500,67.46169805526733,9878.991152763367,114.94636807590723,831.6594810336828,0.19
4/20,17/20,4900,245000,66.6715259552002,9950.514147758484,114.63051776587963,857.4711132645607,0.29
4/20,18/20,4950,247500,65.80403661727905,10030.084983825684,116.13324956595898,874.1710088849068,0.25
4/20,19/20,5000,250000,65.47763776779175,10100.472040176392,116.65530344098806,918.7237432897091,0.37
5/20,0/20,5050,252500,66.26322960853577,10135.966789245605,117.77308132499456,891.1603679060936,0.23
5/20,1/20,5100,255000,66.50852346420288,10111.18485736847,122.26038720458746,937.1683192253113,0.24
5/20,2/20,5150,257500,67.16662240028381,10065.646913051605,122.87350007891655,945.1126327216625,0.21
5/20,3/20,5200,260000,67.14031553268433,10073.770845890045,127.9536447674036,973.1772212684155,0.24
5/20,4/20,5250,262500,66.72375392913818,10014.940997123718,126.72714753448963,992.9667951464653,0.3
5/20,5/20,5300,265000,67.70455002784729,9929.609761238098,122.94739708304405,957.7821595966816,0.38
5/20,6/20,5350,267500,67.21409893035889,9900.331282615662,124.64940186589956,932.2291676998138,0.21
5/20,7/20,5400,270000,66.59775829315186,9939.43898820877,122.09100906550884,901.7890472710133,0.38
5/20,8/20,5450,272500,67.21020722389221,9939.75373506546,117.91248584538698,907.9929358065128,0.31
5/20,9/20,5500,275000,67.6063015460968,9976.076405525208,113.90123326331377,891.3068944811821,0.15
5/20,10/20,5550,277500,66.55604791641235,10006.427722454071,108.32061635702848,940.4602598249912,0.42
5/20,11/20,5600,280000,65.28513407707214,10074.876231193542,107.91874980181456,937.4015667289495,0.35
5/20,12/20,5650,282500,65.52390789985657,10162.388764858246,108.97070226818323,934.464517802,0.34
5/20,13/20,5700,285000,65.65140771865845,10185.669421195984,110.05567467212677,952.7065110504627,0.31
5/20,14/20,5750,287500,65.6213846206665,10303.978260040283,108.38531107455492,951.559046536684,0.24
5/20,15/20,5800,290000,66.10315871238708,10330.48163318634,108.61131620407104,1035.906238347292,0.28
5/20,16/20,5850,292500,65.95723462104797,10435.0578956604,108.04593122005463,1009.6177047938108,0.22
5/20,17/20,5900,295000,66.1509919166565,10455.58342218399,109.18727757036686,1099.653701722622,0.2
5/20,18/20,5950,297500,66.90291595458984,10520.481768608093,108.42216052114964,1013.7783879637718,0.35
5/20,19/20,6000,300000,66.80644631385803,10511.592982292175,109.31771459430456,1017.7650661170483,0.38
6/20,0/20,6050,302500,67.69301986694336,10604.938995361328,107.6865148767829,1129.123212814331,0.28
6/20,1/20,6100,305000,67.27801060676575,10726.660346031189,106.5461335554719,1113.3009763360023,0.29
6/20,2/20,6150,307500,65.77430891990662,10862.150888442993,105.66081304103136,1131.0214873850346,0.17
6/20,3/20,6200,310000,66.94238185882568,10861.288338661194,110.50788345187902,1162.0471113622189,0.33
6/20,4/20,6250,312500,65.99033045768738,11007.613551139832,112.21974802017212,1163.9433464705944,0.33
6/20,5/20,6300,315000,67.2241415977478,11077.320746421814,113.42785633355379,1154.5170860290527,0.35
6/20,6/20,6350,317500,66.79920554161072,11088.571464538574,114.73397105187178,1211.6615081727505,0.29
6/20,7/20,6400,320000,65.95819592475891,11149.273048400879,113.16502565145493,1229.8532820343971,0.36
6/20,8/20,6450,322500,66.7001371383667,11138.53237915039,108.84959378093481,1229.8545177578926,0.32
6/20,9/20,6500,325000,67.60857725143433,11136.70323085785,110.54266759753227,1248.033909857273,0.27
6/20,10/20,6550,327500,67.62310361862183,11198.787817001343,115.11766622960567,1251.7716967463493,0.3
6/20,11/20,6600,330000,64.46627902984619,11203.013738632202,117.73044272512197,1219.500286191702,0.21
6/20,12/20,6650,332500,67.04560828208923,11285.740970611572,115.7948098257184,1262.8337672650814,0.11
6/20,13/20,6700,335000,66.44729447364807,11301.342061042786,112.45638071000576,1247.2241161167622,0.37
6/20,14/20,6750,337500,67.57575058937073,11285.001581192017,116.39072931557894,1201.9936887323856,0.39
6/20,15/20,6800,340000,65.9881010055542,11280.75832271576,121.60303279012442,1240.6945635676384,0.37
6/20,16/20,6850,342500,66.73311853408813,11266.748307228088,122.31482359021902,1189.6731921732426,0.38
6/20,17/20,6900,345000,67.4181067943573,11283.170928955078,127.18065067380667,1226.5300911068916,0.39
6/20,18/20,6950,347500,67.17391920089722,11248.216432571411,126.25202330201864,1167.7041170299053,0.34
6/20,19/20,7000,350000,64.57398414611816,11278.416745185852,125.13165502250195,1148.483079612255,0.41
7/20,0/20,7050,352500,64.28980851173401,11236.188148498535,124.37452903389931,1200.5884712338448,0.44
7/20,1/20,7100,355000,66.48118376731873,11227.148643493652,121.48205534368753,1178.1679779589176,0.15
7/20,2/20,7150,357500,66.84715175628662,11288.34323310852,121.37573214620352,1232.545501112938,0.44
7/20,3/20,7200,360000,66.81336045265198,11303.972381591797,121.6409633308649,1212.8858122229576,0.36
7/20,4/20,7250,362500,65.83159923553467,11274.0419216156,117.98898669332266,1229.010640591383,0.34
7/20,5/20,7300,365000,67.8219633102417,11290.889810562134,116.64822257310152,1203.609225988388,0.33
7/20,6/20,7350,367500,67.50132393836975,11256.038378715515,117.83041547983885,1289.6524564027786,0.25
7/20,7/20,7400,370000,67.74845266342163,11250.12325668335,123.04501279443502,1257.1847587823868,0.31
7/20,8/20,7450,372500,66.16480779647827,11244.029336929321,121.04630149155855,1209.3679167032242,0.31
7/20,9/20,7500,375000,67.87913250923157,11220.625175476074,116.09846822917461,1258.3393700420856,0.26
7/20,10/20,7550,377500,68.95290040969849,11288.874060630798,115.10434629768133,1342.2546571791172,0.2
7/20,11/20,7600,380000,66.34077024459839,11280.273190498352,116.29116401076317,1277.737443804741,0.32
7/20,12/20,7650,382500,66.21866965293884,11262.917339324951,111.05144167691469,1343.1035132408142,0.37
7/20,13/20,7700,385000,66.79172492027283,11289.333096504211,114.51536846905947,1333.98828586936,0.4
7/20,14/20,7750,387500,68.80564975738525,11316.39912891388,111.23780231922865,1288.6855107843876,0.4
7/20,15/20,7800,390000,69.22216033935547,11367.543663978577,113.69345813989639,1315.8310667276382,0.31
7/20,16/20,7850,392500,69.60365295410156,11336.067783355713,118.23927634209394,1357.7898535430431,0.35
