Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,23.669585466384888,,,,0.0
0/20,1/20,100,5000,26.764896392822266,,,,0.0
0/20,2/20,150,7500,26.889591217041016,,,,0.0
0/20,3/20,200,10000,24.241960287094116,11.542194746434689,0.24588877661153674,4.571304902434349,0.0
0/20,4/20,250,12500,57.170936584472656,1116.2487155795097,8.361323258839548,37.02536275237799,0.01
0/20,5/20,300,15000,57.24945306777954,2135.843134999275,9.863994960207492,23.489810161292553,0.0
0/20,6/20,350,17500,56.807427167892456,3018.8303463459015,31.41216648928821,34.84844994544983,0.0
0/20,7/20,400,20000,58.35728859901428,3607.875693321228,69.3810257986188,41.60895418189466,0.0
0/20,8/20,450,22500,57.05271625518799,4063.205798149109,78.42138045281172,54.371237149462104,0.01
0/20,9/20,500,25000,58.866962909698486,4538.355980396271,83.09435640275478,66.4379722122103,0.02
0/20,10/20,550,27500,57.35812520980835,4938.800508260727,95.771693110466,89.73078174516559,0.01
0/20,11/20,600,30000,61.64626145362854,5435.443040847778,101.60697984695435,111.69063688069582,0.0
0/20,12/20,650,32500,62.858734130859375,5847.268447875977,102.6947386264801,129.35212336480618,0.02
0/20,13/20,700,35000,61.098801136016846,6059.72714471817,108.06652697920799,145.96523830667138,0.0
0/20,14/20,750,37500,59.92879581451416,6251.078688144684,105.22466665506363,178.4306814596057,0.01
0/20,15/20,800,40000,59.817745208740234,6479.298817157745,111.61536564677954,212.93565967679024,0.01
0/20,16/20,850,42500,58.70923399925232,6679.550130844116,111.7777298539877,248.3977741226554,0.03
0/20,17/20,900,45000,59.58024072647095,6861.363537788391,121.95731957256794,277.4155415520072,0.03
0/20,18/20,950,47500,60.602787017822266,6924.576078414917,127.86643369495869,319.49164275825024,0.01
0/20,19/20,1000,50000,60.515812158584595,6960.192303657532,125.68045996874571,331.31136982142925,0.01
1/20,0/20,1050,52500,59.778836727142334,7108.613936424255,123.11809562891722,387.9117771089077,0.04
1/20,1/20,1100,55000,59.788297176361084,7239.109516143799,125.86210390925407,418.8951353877783,0.02
1/20,2/20,1150,57500,59.336875677108765,7455.338314533234,130.6016814634204,431.99329474568367,0.01
1/20,3/20,1200,60000,59.336323976516724,7635.194415569305,129.47086769342422,472.86625957489014,0.01
1/20,4/20,1250,62500,58.06710767745972,7760.283546447754,128.72825687378645,453.1924246251583,0.03
1/20,5/20,1300,65000,57.95614147186279,7865.516773223877,130.5021551847458,461.0782909542322,0.04
1/20,6/20,1350,67500,57.39824724197388,7956.86425113678,133.41498290747404,481.538852468133,0.06
1/20,7/20,1400,70000,56.98637509346008,7978.4509806633,137.62531531602144,516.8101069182158,0.05
1/20,8/20,1450,72500,56.177698850631714,8018.319034099579,137.76780864596367,526.4804151207209,0.02
1/20,9/20,1500,75000,57.275583267211914,8053.029628276825,138.96301056444645,530.864520534873,0.05
1/20,10/20,1550,77500,56.70320129394531,8099.533118247986,142.72496819496155,514.1441144347191,0.04
1/20,11/20,1600,80000,57.04808473587036,8137.489237785339,146.49197416752577,524.505379408598,0.04
1/20,12/20,1650,82500,56.64539456367493,8163.3917899131775,144.56621063500643,514.6287011355162,0.08
1/20,13/20,1700,85000,57.535757541656494,8213.931365013123,138.960448525846,534.0140579044819,0.06
1/20,14/20,1750,87500,57.42655396461487,8418.240856647491,136.1767182275653,544.2281339466572,0.07
