Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,24.068143606185913,,,,0.0
0/20,1/20,100,5000,23.535463094711304,,,,0.0
0/20,2/20,150,7500,23.494277238845825,,,,0.0
0/20,3/20,200,10000,21.87388586997986,10.134124010801315,0.1961907318327576,5.870257079601288,0.01
0/20,4/20,250,12500,57.83457565307617,1061.0667177140713,7.194432689342648,40.70391536131501,0.0
0/20,5/20,300,15000,62.90915107727051,2111.891926765442,9.63119512423873,24.468995973467827,0.01
0/20,6/20,350,17500,59.24282097816467,3029.3024818897247,32.26242954470217,33.966820363886654,0.01
0/20,7/20,400,20000,60.26723599433899,3747.3355264663696,64.5217571221292,37.518197095021605,0.0
0/20,8/20,450,22500,60.27961754798889,4283.939247369766,83.53924946859479,38.38980916608125,0.0
0/20,9/20,500,25000,59.7160530090332,4758.837069988251,80.8629560098052,43.892353961244226,0.01
0/20,10/20,550,27500,59.35698580741882,5231.24262547493,91.11661022901535,63.24466224387288,0.02
0/20,11/20,600,30000,59.4214928150177,5577.390929698944,104.03877222537994,72.51665930077434,0.01
0/20,12/20,650,32500,59.91861438751221,5849.577429294586,109.49816966801882,87.47433100640774,0.01
0/20,13/20,700,35000,59.43954300880432,6141.2641134262085,115.56005105376244,100.89203928038478,0.0
0/20,14/20,750,37500,59.94938135147095,6407.082480430603,119.34277425706387,109.17785361409187,0.01
0/20,15/20,800,40000,64.74160861968994,6746.344292163849,118.96799337863922,154.0891973823309,0.0
0/20,16/20,850,42500,60.05665326118469,6944.570244312286,117.73821303993464,170.42537247389555,0.0
0/20,17/20,900,45000,60.22169589996338,7067.041642189026,120.91921689361334,183.9238982051611,0.01
0/20,18/20,950,47500,60.678855419158936,7231.801094055176,117.34472454339266,205.49211709201336,0.02
0/20,19/20,1000,50000,60.92451524734497,7377.546976566315,122.71358920633793,237.58269868046045,0.0
1/20,0/20,1050,52500,61.019012689590454,7460.130413532257,124.30977080762386,249.42221176624298,0.03
1/20,1/20,1100,55000,60.457236528396606,7579.73913192749,122.45791940391064,276.68945138156414,0.01
1/20,2/20,1150,57500,61.348777055740356,7641.8542194366455,124.77943996340036,280.780092433095,0.04
1/20,3/20,1200,60000,62.30748701095581,7661.48123216629,128.68583004176617,296.67795787751675,0.02
1/20,4/20,1250,62500,62.708516120910645,7781.566625118256,126.82848336547613,305.60412803292274,0.0
1/20,5/20,1300,65000,66.97394752502441,7801.161859512329,128.2510095462203,321.16344755887985,0.06
1/20,6/20,1350,67500,61.770318031311035,7870.035653114319,126.77571544796228,335.6800782904029,0.01
1/20,7/20,1400,70000,63.11647009849548,7908.577551364899,127.75965239107609,370.415049046278,0.05
1/20,8/20,1450,72500,62.43021774291992,7869.272028923035,129.14804658293724,370.18864147365093,0.03
1/20,9/20,1500,75000,62.333242654800415,7988.859629154205,124.0318216830492,408.63038644194603,0.04
1/20,10/20,1550,77500,61.77089548110962,8113.562079906464,121.72181105613708,442.7369274944067,0.03
1/20,11/20,1600,80000,61.803078413009644,8141.5083956718445,126.16760669648647,439.4015251994133,0.05
1/20,12/20,1650,82500,60.229327917099,8133.754709720612,129.5263915359974,438.4863573014736,0.06
1/20,13/20,1700,85000,60.93229293823242,8219.386107444763,124.17843257635832,446.61114813387394,0.03
1/20,14/20,1750,87500,61.41734051704407,8228.933987140656,121.85619203746319,439.01382836699486,0.05
1/20,15/20,1800,90000,60.62235617637634,8320.699875831604,119.85640622675419,459.16052013635635,0.07
1/20,16/20,1850,92500,60.79568004608154,8372.101619720459,122.27198807895184,455.56366719305515,0.03
1/20,17/20,1900,95000,61.09631395339966,8435.123462677002,121.29522770643234,484.1703725606203,0.07
1/20,18/20,1950,97500,61.49689340591431,8537.054925441742,115.96891980618238,494.0860246568918,0.05
1/20,19/20,2000,100000,60.79071855545044,8755.071304321289,114.4270206540823,523.4407947361469,0.04
2/20,0/20,2050,102500,61.524142026901245,8904.348309993744,113.49384066462517,535.1216897517443,0.09
2/20,1/20,2100,105000,61.43928384780884,8980.4604678154,118.99404257535934,545.5162487328053,0.09
2/20,2/20,2150,107500,61.95426058769226,9105.898829936981,116.57118487358093,574.7591609358788,0.06
2/20,3/20,2200,110000,61.73530864715576,9293.190462589264,109.9105688482523,573.8445699512959,0.05
2/20,4/20,2250,112500,62.71214175224304,9419.476794242859,111.36358086764812,596.6804469823837,0.06
2/20,5/20,2300,115000,62.091084480285645,9551.749416351318,113.64816456288099,623.4653477370739,0.07
2/20,6/20,2350,117500,62.28521132469177,9640.593702793121,110.49764209240675,662.9070779979229,0.06
2/20,7/20,2400,120000,62.17283487319946,9694.862124443054,114.92774526029825,689.8467776626348,0.06
2/20,8/20,2450,122500,62.0676851272583,9723.565874576569,115.97396406531334,711.2206582725048,0.1
2/20,9/20,2500,125000,62.02028036117554,9697.892486572266,117.65040279179811,770.6956331729889,0.07
2/20,10/20,2550,127500,61.347617626190186,9683.840914726257,122.13717978447676,739.3058727681637,0.19
2/20,11/20,2600,130000,62.301058530807495,9604.887476444244,126.01403714716434,753.6491546332836,0.1
2/20,12/20,2650,132500,67.07529067993164,9614.34927225113,126.37566097080708,777.9470001757145,0.11
2/20,13/20,2700,135000,61.88472771644592,9575.07853937149,128.1795570552349,771.3191086947918,0.06
2/20,14/20,2750,137500,62.59203481674194,9530.434782028198,123.94341583549976,779.4979565441608,0.07
2/20,15/20,2800,140000,62.000449419021606,9536.62155342102,125.4588125795126,791.901909828186,0.16
2/20,16/20,2850,142500,62.130584478378296,9581.448266983032,124.80920469015837,789.8924028277397,0.12
2/20,17/20,2900,145000,61.240153312683105,9662.990117549896,127.96384740620852,740.2839751839638,0.22
2/20,18/20,2950,147500,65.54621911048889,9706.052755355835,124.28207146376371,776.5293739140034,0.07
2/20,19/20,3000,150000,62.348947048187256,9776.83529996872,124.87794738262892,723.2346439361572,0.16
3/20,0/20,3050,152500,62.889233350753784,9795.522938251495,124.24403318762779,743.3023515045643,0.2
3/20,1/20,3100,155000,62.47921800613403,9916.219158172607,127.06039233505726,770.5124285519123,0.2
3/20,2/20,3150,157500,61.97070598602295,9887.846736431122,125.29278653115034,730.1806375682354,0.08
3/20,3/20,3200,160000,61.69491243362427,9827.709922790527,124.76765770465136,669.1260867714882,0.17
3/20,4/20,3250,162500,61.67918419837952,9772.859414577484,125.57236561924219,697.8562485277653,0.17
3/20,5/20,3300,165000,61.75037384033203,9742.055549144745,124.43114513903856,662.4640233814716,0.18
3/20,6/20,3350,167500,61.19292664527893,9769.57312297821,122.98486121743917,673.8645632863045,0.17
3/20,7/20,3400,170000,61.9133358001709,9809.498596191406,121.36636007577181,688.6479398012161,0.18
3/20,8/20,3450,172500,62.38628888130188,9889.074210166931,121.93245638161898,682.1820612847805,0.22
3/20,9/20,3500,175000,61.19205188751221,9886.426653862,122.41612716764212,697.9821435809135,0.23
3/20,10/20,3550,177500,61.11570334434509,9959.653206825256,120.9283487200737,738.7668851315975,0.21
3/20,11/20,3600,180000,60.226354360580444,10020.069887638092,121.13707461953163,727.8585465550423,0.2
3/20,12/20,3650,182500,59.96968698501587,10068.15360212326,119.15916559100151,736.7653286159039,0.21
3/20,13/20,3700,185000,61.606910705566406,10094.960078239441,116.62109895795584,750.8770213723183,0.2
3/20,14/20,3750,187500,62.62152671813965,10219.365401268005,115.14069932699203,726.6712560653687,0.28
3/20,15/20,3800,190000,61.877312898635864,10344.495439529419,112.91236162930727,764.0206305086613,0.27
3/20,16/20,3850,192500,61.71599507331848,10436.422791481018,109.81103114038706,769.0720935165882,0.26
3/20,17/20,3900,195000,63.01877760887146,10517.426367759705,109.8513659760356,770.6967721581459,0.2
3/20,18/20,3950,197500,62.60427379608154,10590.37024974823,109.4260043874383,781.1418577134609,0.26
3/20,19/20,4000,200000,61.044084310531616,10641.2750082016,113.91857406497002,852.6260868608952,0.21
4/20,0/20,4050,202500,60.90727519989014,10699.233758926392,112.83965381234884,807.9275233745575,0.26
4/20,1/20,4100,205000,60.87020802497864,10733.767189979553,111.40759710967541,815.4864211082458,0.28
4/20,2/20,4150,207500,60.985422134399414,10868.779666900635,108.2181394547224,865.7430393397808,0.25
4/20,3/20,4200,210000,61.41201615333557,10929.488671302795,107.15541919320822,850.0256241858006,0.27
4/20,4/20,4250,212500,61.45480442047119,11049.385181427002,109.52391701936722,913.1632264554501,0.16
