Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,22.705336093902588,,,,0.0
0/20,1/20,100,5000,23.792154788970947,,,,0.0
0/20,2/20,150,7500,22.825576782226562,,,,0.0
0/20,3/20,200,10000,24.426641702651978,3.5426450185477734,0.20250353263691068,1.104075811803341,0.0
0/20,4/20,250,12500,85.61261367797852,368.41780911386013,4.064731001621112,2.2644876144404407,0.0
0/20,5/20,300,15000,80.39342498779297,879.6165044903755,1.857695497223176,0.8389345492369102,0.0
0/20,6/20,350,17500,86.92653679847717,1196.6701806783676,2.4221242154599167,2.6652627306320937,0.0
0/20,7/20,400,20000,87.4247727394104,1081.8930525183678,3.4610938137338962,1.2009157561637949,0.0
0/20,8/20,450,22500,86.3396372795105,1343.0977295041084,4.890310213435441,3.0405163108953275,0.0
0/20,9/20,500,25000,85.07170510292053,2771.3374770879745,1.4753782455227338,1.3072736623671517,0.01
0/20,10/20,550,27500,89.26721262931824,2113.297654747963,4.301318019803148,1.288526869717316,0.01
0/20,11/20,600,30000,90.29790830612183,3250.3166224956512,46.83145062904805,18.577762067085132,0.03
0/20,12/20,650,32500,90.1806423664093,1896.0795944929123,6.117378706112504,0.6954762498025957,0.01
0/20,13/20,700,35000,91.04607963562012,3063.001310825348,4.056073616025969,18.199951917573344,0.01
0/20,14/20,750,37500,86.5881597995758,2476.191914319992,17.01518865674734,0.1810905135835128,0.0
0/20,15/20,800,40000,92.43631649017334,2639.0143464803696,33.45165031263605,18.97327927290462,0.0
0/20,16/20,850,42500,87.30724287033081,4234.901174068451,18.119645963422954,9.079071232299611,0.01
0/20,17/20,900,45000,92.56711316108704,3012.6694140434265,44.441866556182504,5.021431115805171,0.0
0/20,18/20,950,47500,89.84817886352539,6237.509126663208,276.59357142448425,98.14983305439819,0.0
0/20,19/20,1000,50000,91.74653720855713,4232.6034145355225,55.79253437370062,9.986590490327217,0.0
1/20,0/20,1050,52500,87.47398638725281,4718.62761592865,12.846752726007253,0.8927640372517089,0.0
1/20,1/20,1100,55000,91.97070479393005,4502.0527930259705,31.64962361380458,3.367195405473467,0.0
1/20,2/20,1150,57500,88.0804615020752,5092.97269487381,25.745275039225817,0.42700154424164793,0.0
1/20,3/20,1200,60000,91.51377701759338,4164.094681978226,42.338821137323976,4.4091966194682755,0.0
1/20,4/20,1250,62500,87.41086626052856,5346.89981174469,23.802188113797456,1.350563122281983,0.0
1/20,5/20,1300,65000,89.6003360748291,4071.270671606064,81.6528191305697,12.406876989640296,0.0
1/20,6/20,1350,67500,84.23448920249939,3897.000689268112,62.644883416593075,0.2940651983101361,0.0
1/20,7/20,1400,70000,85.25302195549011,3841.3259539604187,63.51843152567744,1.586728756494722,0.0
1/20,8/20,1450,72500,90.09882402420044,4880.198429107666,23.553742539137602,9.457379394283635,0.0
1/20,9/20,1500,75000,85.79541635513306,4646.849071741104,18.422021694481373,0.24332698995135615,0.0
1/20,10/20,1550,77500,86.59790420532227,4026.321892261505,22.34413893194869,4.844931432613521,0.0
1/20,11/20,1600,80000,90.4027931690216,6711.060975551605,82.55607859883457,32.95870453119278,0.01
1/20,12/20,1650,82500,94.0241060256958,5891.130454540253,17.37035353668034,2.9864224816774367,0.01
1/20,13/20,1700,85000,99.0700147151947,5062.503373146057,92.85751374810934,87.51739563047886,0.0
1/20,14/20,1750,87500,90.81301188468933,5001.602660417557,135.67925344407558,2.654836530506145,0.01
1/20,15/20,1800,90000,95.06376433372498,4198.438773155212,109.36193687468767,15.11469793797005,0.0
1/20,16/20,1850,92500,89.53271198272705,3515.131093263626,111.15114276856184,1.0054187658902265,0.0
1/20,17/20,1900,95000,91.93482041358948,4318.802424907684,99.04362577944994,29.060708557954058,0.0
1/20,18/20,1950,97500,91.55492901802063,4462.898782968521,71.10263499245048,1.2324760318506378,0.01
1/20,19/20,2000,100000,95.49314570426941,3950.2638897895813,93.90611879900098,4.124451792304171,0.0
2/20,0/20,2050,102500,92.26254415512085,1961.8999981880188,105.2466587498784,0.8158994932041423,0.01
2/20,1/20,2100,105000,94.77042245864868,3573.4492053985596,65.47953356057405,24.716481025447138,0.01
2/20,2/20,2150,107500,91.23293542861938,1873.126394867897,51.33369467034936,0.8060336678399835,0.0
2/20,3/20,2200,110000,93.28303074836731,3268.176097869873,100.73440542817116,20.980737979756668,0.01
2/20,4/20,2250,112500,89.39750981330872,1849.2706760168076,97.58600269258022,1.8310606823315538,0.0
2/20,5/20,2300,115000,90.32525300979614,2110.7777445316315,89.03921225294471,4.3936608475924,0.0
2/20,6/20,2350,117500,89.01416945457458,2712.280674815178,55.23755935020745,0.26033922742635696,0.0
2/20,7/20,2400,120000,93.42022156715393,3418.1706500053406,64.32703224569559,18.855973759898916,0.0
2/20,8/20,2450,122500,91.3874340057373,3186.0901415348053,37.07331319898367,0.2507670960148971,0.0
2/20,9/20,2500,125000,94.48230862617493,2908.1405526399612,31.706210369244218,7.801307275105501,0.0
2/20,10/20,2550,127500,91.42736530303955,2141.9299668073654,125.8695484995842,23.557325849542394,0.02
2/20,11/20,2600,130000,91.30332040786743,3314.1199259757996,26.685394186526537,0.38870817250608525,0.0
2/20,12/20,2650,132500,95.46943759918213,3329.6781635284424,60.44267580844462,9.988125434960239,0.0
2/20,13/20,2700,135000,89.62969470024109,4443.325914859772,33.76626374386251,0.26763787878644507,0.0
2/20,14/20,2750,137500,94.37091732025146,3333.087529182434,80.79049724712968,9.62313776827068,0.0
2/20,15/20,2800,140000,89.60838079452515,5282.472467184067,31.1532044634223,2.5124214016932456,0.0
2/20,16/20,2850,142500,90.816073179245,2799.0035387277603,93.65454389899969,8.021566841227468,0.02
