Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,21.66450524330139,,,,0.02
0/20,1/20,100,5000,26.460358381271362,,,,0.03
0/20,2/20,150,7500,26.109322786331177,,,,0.05
0/20,3/20,200,10000,25.69168186187744,5.591869793832302,0.1545393520500511,3.533980667591095,0.1
0/20,4/20,250,12500,84.85839319229126,283.7545311972499,5.478210222441703,8.899088327540085,0.05
0/20,5/20,300,15000,88.58138537406921,683.2533369660378,5.593279573600739,5.072037522448227,0.12
0/20,6/20,350,17500,86.9102680683136,1139.2652360200882,5.464885791996494,8.223662078846246,0.07
0/20,7/20,400,20000,88.26150393486023,1278.8761577606201,7.957867355784401,11.065760391531512,0.06
0/20,8/20,450,22500,90.56453084945679,1283.0093050003052,9.116743236314505,4.788101931102574,0.08
0/20,9/20,500,25000,95.10949730873108,1912.820170879364,10.867619699100032,17.316043841885403,0.12
0/20,10/20,550,27500,91.89728379249573,1992.9652262926102,33.48141843639314,8.405655792565085,0.09
0/20,11/20,600,30000,91.89965081214905,2354.6367424726486,22.176648835651577,6.344459186482709,0.04
0/20,12/20,650,32500,91.1608612537384,2665.3023508787155,29.929817193187773,4.190097743150545,0.09
0/20,13/20,700,35000,98.13963508605957,2336.516525864601,27.530120382085443,5.090787064022152,0.08
0/20,14/20,750,37500,100.1291971206665,2875.312735557556,67.96001430042088,37.80454038269818,0.1
0/20,15/20,800,40000,96.20363473892212,2011.4467059373856,108.90773157775402,35.565545150311664,0.08
0/20,16/20,850,42500,91.13757610321045,2188.5568128824234,106.94678159803152,33.603763214778155,0.04
0/20,17/20,900,45000,88.4211151599884,1965.126664340496,92.42653967440128,22.47435715130996,0.07
0/20,18/20,950,47500,91.3949134349823,1902.463197171688,107.65906797721982,12.663604336907156,0.02
0/20,19/20,1000,50000,93.41577434539795,1612.745712339878,71.94836199656129,8.043140251131263,0.05
1/20,0/20,1050,52500,92.74503350257874,1914.8427094221115,61.11319695785642,4.2083963460463565,0.07
1/20,1/20,1100,55000,89.50472664833069,2044.6008214950562,51.63266898319125,7.44790616229875,0.06
1/20,2/20,1150,57500,90.03182458877563,2884.969660282135,79.63600486516953,10.341927572910208,0.1
1/20,3/20,1200,60000,90.87121486663818,1964.3555318117142,61.727497451007366,8.838922320632264,0.06
1/20,4/20,1250,62500,88.51270914077759,2847.4128048419952,96.72418821230531,28.106413640780374,0.07
1/20,5/20,1300,65000,89.11447215080261,2509.0604453086853,118.45796181634068,12.31150777428411,0.06
1/20,6/20,1350,67500,89.0027916431427,1835.7421227693558,83.48676937073469,17.065543968230486,0.05
1/20,7/20,1400,70000,89.8335394859314,2278.157338142395,90.55867696925998,21.641780242905952,0.05
1/20,8/20,1450,72500,89.67493987083435,2441.4659507274628,59.38706370070577,10.856491305399686,0.05
1/20,9/20,1500,75000,89.41248917579651,1958.214166522026,45.149011224508286,9.63675043033436,0.1
1/20,10/20,1550,77500,87.53885316848755,2608.848464369774,53.06301060318947,10.021934555843472,0.05
1/20,11/20,1600,80000,88.82331871986389,2192.7109776735306,58.92298801988363,13.169048706477042,0.07
1/20,12/20,1650,82500,89.27351975440979,2541.3514025211334,54.88409183546901,29.08242622530088,0.06
1/20,13/20,1700,85000,89.49229717254639,2004.2634471654892,47.743116876110435,10.33163449622225,0.07
1/20,14/20,1750,87500,89.7990882396698,2701.94678401947,82.85399489477277,16.193776074564084,0.05
1/20,15/20,1800,90000,89.01474595069885,2933.408993124962,42.90302960947156,7.591633082920453,0.06
1/20,16/20,1850,92500,89.14275169372559,2724.2479714155197,89.40066420286894,13.12548821407836,0.07
1/20,17/20,1900,95000,90.05967402458191,2613.504227042198,63.73967408388853,18.37147924187593,0.1
1/20,18/20,1950,97500,94.31055331230164,3315.7562572956085,78.160172265023,13.40390179073438,0.09
1/20,19/20,2000,100000,93.33465313911438,3544.1537141799927,63.72698336839676,11.912854123744182,0.07
2/20,0/20,2050,102500,90.57646703720093,3905.4971063137054,69.43122412264347,38.26957615511492,0.05
2/20,1/20,2100,105000,90.57074236869812,3405.4074345827103,81.19067123159766,11.899154026177712,0.1
2/20,2/20,2150,107500,90.8392071723938,2209.298167705536,71.81208565458655,12.041056565591134,0.06
2/20,3/20,2200,110000,91.24867963790894,2011.5097298622131,77.58208145946264,15.648992942762561,0.09
2/20,4/20,2250,112500,89.60216546058655,1771.5086381435394,68.51134674437344,20.299638097640127,0.09
2/20,5/20,2300,115000,89.74323272705078,2859.0127527713776,72.40012902766466,12.017561996355653,0.11
2/20,6/20,2350,117500,89.24059510231018,2486.912740945816,112.32130068540573,32.59626540495083,0.11
2/20,7/20,2400,120000,89.39599323272705,2171.601198554039,99.35155143216252,16.027277554618195,0.08
2/20,8/20,2450,122500,88.73236107826233,2507.169716358185,70.64267298206687,10.702416410436854,0.06
2/20,9/20,2500,125000,89.82098340988159,2460.015256881714,76.17565765604377,4.79940279427683,0.07
2/20,10/20,2550,127500,87.92118215560913,2776.423407435417,70.34769152849913,18.875065767439082,0.07
2/20,11/20,2600,130000,87.78099775314331,2023.9013203382492,73.75110164657235,8.477455748827197,0.09
2/20,12/20,2650,132500,88.90284514427185,1933.6378922462463,97.22455767542124,14.03320107946638,0.09
2/20,13/20,2700,135000,87.70298862457275,2674.761329650879,41.77509922720492,19.181258253986016,0.06
2/20,14/20,2750,137500,87.81381320953369,2551.627390265465,48.104216838255525,12.179636337212287,0.1
2/20,15/20,2800,140000,87.35799360275269,2861.211882710457,102.2778100669384,11.947351104812697,0.08
2/20,16/20,2850,142500,87.74976205825806,2639.25456571579,42.63751275278628,13.890797329950146,0.13
2/20,17/20,2900,145000,88.09491896629333,2952.4952261447906,62.072195906192064,14.981923802522942,0.03
2/20,18/20,2950,147500,86.65404725074768,2558.090920329094,52.13477407023311,12.025943808839656,0.06
2/20,19/20,3000,150000,87.01011919975281,2016.8531532287598,94.39067398384213,22.351387322414666,0.07
3/20,0/20,3050,152500,87.48528742790222,2578.237638115883,61.707186587154865,10.507879842421971,0.06
3/20,1/20,3100,155000,87.4697904586792,2061.1631640791893,74.17790714278817,14.033162010484375,0.05
3/20,2/20,3150,157500,86.42986536026001,3205.185380101204,76.04127277061343,7.794910569267813,0.09
3/20,3/20,3200,160000,85.65819644927979,2649.4208661317825,67.02321688458323,5.412793153140228,0.08
3/20,4/20,3250,162500,86.66001892089844,2287.398761034012,66.90561069175601,7.598418903187849,0.06
3/20,5/20,3300,165000,85.17505288124084,2205.2190967798233,65.54153940081596,7.68186697748024,0.07
3/20,6/20,3350,167500,86.47602653503418,1784.0189230442047,48.82868864759803,6.69362341548549,0.02
3/20,7/20,3400,170000,87.66957473754883,2786.994691491127,38.09282745979726,7.610156413458753,0.06
3/20,8/20,3450,172500,89.70177245140076,2981.2772105932236,40.11612595245242,8.223729489429388,0.06
3/20,9/20,3500,175000,89.54464983940125,2917.638940811157,101.84298383444548,36.927200535079464,0.02
3/20,10/20,3550,177500,88.02546238899231,1756.0629843473434,88.79633968695998,12.623256656574085,0.03
3/20,11/20,3600,180000,89.08960461616516,2261.949558377266,54.12798854149878,4.433143235160969,0.09
3/20,12/20,3650,182500,91.91207098960876,2732.1234205961227,59.01045553945005,18.240856531541795,0.05
3/20,13/20,3700,185000,91.96927785873413,2589.2094539403915,67.86839205399156,8.429409054166172,0.06
3/20,14/20,3750,187500,89.9659993648529,3940.576805949211,62.32792022079229,17.473373471060768,0.07
3/20,15/20,3800,190000,90.13548398017883,2379.7714681625366,79.85745452344418,15.054849907173775,0.06
3/20,16/20,3850,192500,89.47303748130798,2867.034209251404,46.8690147716552,9.278725690033752,0.06
3/20,17/20,3900,195000,90.34939765930176,1581.1227862238884,61.31161942705512,7.5948202586732805,0.07
3/20,18/20,3950,197500,90.23085904121399,2257.793669939041,71.85855719074607,8.246314776362851,0.09
3/20,19/20,4000,200000,89.57187938690186,1957.1650129556656,42.02178095653653,10.167993590934202,0.05
4/20,0/20,4050,202500,89.84151792526245,2768.5220034122467,76.57324815914035,14.815856525674462,0.09
