Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,23.7130229473114,,,,0.0
0/20,1/20,100,5000,28.278980016708374,,,,0.0
0/20,2/20,150,7500,28.398911952972412,,,,0.0
0/20,3/20,200,10000,29.762475728988647,6.629429295659065,0.22253665374591947,2.694529488682747,0.0
0/20,4/20,250,12500,81.78431725502014,383.3781004399061,7.24588463944383,1.028427243486476,0.0
0/20,5/20,300,15000,85.30622029304504,846.8533064723015,16.62879898911342,6.46670215811173,0.0
0/20,6/20,350,17500,85.21929907798767,1573.3108143806458,11.103225718718022,4.336011917836004,0.01
0/20,7/20,400,20000,82.83224534988403,3262.6012740135193,8.544718449003994,6.218168663069264,0.0
0/20,8/20,450,22500,85.8881094455719,1397.8422989845276,14.432749010738917,2.6109949403326027,0.0
0/20,9/20,500,25000,82.25567889213562,1181.7626755833626,25.700256551150233,1.5448129575725034,0.0
0/20,10/20,550,27500,83.8763039112091,2998.2758972644806,52.097927901893854,11.309806908015162,0.0
0/20,11/20,600,30000,82.37290692329407,3054.8775720596313,20.688171472400427,0.4663781137837759,0.0
0/20,12/20,650,32500,84.1781075000763,2571.197607398033,14.891480644233525,3.340873932087561,0.0
0/20,13/20,700,35000,83.47836232185364,4430.226712942123,45.162479657679796,31.01057335245423,0.01
0/20,14/20,750,37500,84.02047395706177,2763.9357565641403,28.83217941597104,0.2834318442601216,0.01
0/20,15/20,800,40000,89.06566739082336,3524.1339366436005,107.85361771285534,30.700804500374943,0.0
0/20,16/20,850,42500,84.3822283744812,3343.7434833049774,21.712491952814162,0.47281012605708383,0.01
0/20,17/20,900,45000,83.64094758033752,4001.3324670791626,144.94803242757916,20.40036124549806,0.0
0/20,18/20,950,47500,83.1489908695221,4175.578266143799,73.90979072637856,17.14088929485297,0.02
0/20,19/20,1000,50000,86.1632354259491,3323.0814735889435,115.08964318782091,12.944524276652373,0.01
1/20,0/20,1050,52500,88.65633726119995,3379.604637861252,30.611539851874113,7.953357651596889,0.0
1/20,1/20,1100,55000,85.73628187179565,3896.0418739318848,139.07819986715913,28.756029913201928,0.0
1/20,2/20,1150,57500,85.04243612289429,2958.648384809494,42.6290509365499,8.633880685083568,0.0
1/20,3/20,1200,60000,82.79558682441711,3714.72016787529,40.605491084977984,12.460639068391174,0.02
