Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,22.42406702041626,,,,0.05
0/20,1/20,100,5000,26.813717126846313,,,,0.09
0/20,2/20,150,7500,27.047868728637695,,,,0.05
0/20,3/20,200,10000,28.01019024848938,3.784603513777256,0.20325837493874133,2.178552258759737,0.07
0/20,4/20,250,12500,86.85823130607605,318.22061279416084,7.562308785505593,9.366461039870046,0.04
0/20,5/20,300,15000,89.50352716445923,618.6823195517063,9.270059830509126,3.090347594144987,0.03
0/20,6/20,350,17500,90.09248161315918,954.0622397065163,3.6940254238434136,4.650561146176187,0.06
0/20,7/20,400,20000,90.42723178863525,1064.8601390123367,12.303364686318673,16.042075023287907,0.04
0/20,8/20,450,22500,92.39758157730103,1691.48661506176,31.699868572875857,21.151255805045366,0.08
0/20,9/20,500,25000,91.08519554138184,1373.9933323860168,22.025075789541006,4.233833769802004,0.08
0/20,10/20,550,27500,90.22779297828674,1854.3027729988098,35.30382576584816,9.841255173727404,0.02
0/20,11/20,600,30000,91.54477310180664,1094.457129240036,27.77793247345835,4.505949825543212,0.05
0/20,12/20,650,32500,90.72328281402588,2363.67163336277,29.091950124129653,24.46141828224063,0.05
0/20,13/20,700,35000,90.68199825286865,2499.8496947288513,36.67551244515926,22.907465180847794,0.05
0/20,14/20,750,37500,93.87598133087158,1964.2098027467728,35.3650473151356,21.433759506093338,0.07
0/20,15/20,800,40000,90.68748927116394,2488.414717078209,83.78231242671609,16.47833752934821,0.06
0/20,16/20,850,42500,91.42286610603333,2025.1841764450073,111.89458259940147,38.20499438769184,0.08
0/20,17/20,900,45000,93.81283402442932,1486.4922481179237,78.88430869579315,23.21033653127961,0.09
0/20,18/20,950,47500,92.67673659324646,1440.3067011237144,108.20962140709162,21.679613190935925,0.04
0/20,19/20,1000,50000,92.19688129425049,1304.9555324316025,75.1793217882514,8.028448475059122,0.09
1/20,0/20,1050,52500,94.91309309005737,1972.271589756012,73.48375953733921,11.804663561400957,0.1
1/20,1/20,1100,55000,101.14561367034912,1792.3909575939178,49.78430678509176,16.823885351186618,0.06
1/20,2/20,1150,57500,101.31005835533142,2042.9561032056808,75.60853726789355,7.66978657443542,0.13
1/20,3/20,1200,60000,104.2883665561676,2406.507915496826,48.83999917842448,16.520197003497742,0.08
1/20,4/20,1250,62500,111.9246277809143,1795.1476395130157,63.85756294801831,17.922451965510845,0.07
