Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,23.13855504989624,,,,0.1
0/20,1/20,100,5000,27.517821788787842,,,,0.08
0/20,2/20,150,7500,27.194371938705444,,,,0.04
0/20,3/20,200,10000,26.520641803741455,5.059421569108963,0.28128468059003353,2.326281562447548,0.08
0/20,4/20,250,12500,88.65968179702759,459.48545119166374,9.66213657753542,10.379714982758742,0.1
0/20,5/20,300,15000,88.89184784889221,643.5847919881344,8.290760825388134,4.835899914847687,0.09
0/20,6/20,350,17500,89.5876579284668,912.8505442738533,10.556646051350981,2.64908301786636,0.05
0/20,7/20,400,20000,90.13832879066467,945.8020456135273,8.359024106059223,8.306164157227613,0.07
0/20,8/20,450,22500,90.20811200141907,1629.3733055591583,10.408135624136776,6.1016794564784504,0.07
0/20,9/20,500,25000,90.16695022583008,1383.152939260006,9.198234123061411,5.093215547822183,0.11
0/20,10/20,550,27500,91.05704426765442,1948.3456763029099,44.94277696078643,27.196523843798786,0.03
0/20,11/20,600,30000,91.2673876285553,2023.3097585439682,67.22824928164482,29.190465482883155,0.04
0/20,12/20,650,32500,91.90391111373901,1723.291952908039,85.06710744649172,13.113597516028676,0.05
0/20,13/20,700,35000,91.23162627220154,2084.4684747457504,30.212895480915904,16.11306829669047,0.03
0/20,14/20,750,37500,92.46844387054443,1626.0342872738838,58.04572732374072,10.449579833308235,0.06
0/20,15/20,800,40000,93.03047966957092,2584.4303582906723,50.860352858901024,29.090299098868854,0.07
0/20,16/20,850,42500,93.45333504676819,2986.378359556198,41.576913580298424,14.655258391052485,0.1
0/20,17/20,900,45000,91.32686233520508,2475.294521212578,64.21715770661831,10.179641602386255,0.07
0/20,18/20,950,47500,89.79014110565186,1284.2559393644333,72.55485030263662,5.409658316260902,0.06
0/20,19/20,1000,50000,89.64473724365234,2318.009905099869,62.38554301485419,7.962866828544065,0.07
1/20,0/20,1050,52500,90.70522928237915,2654.1095551252365,121.78533743321896,44.68274485087022,0.06
1/20,1/20,1100,55000,91.3521203994751,1648.1467977762222,90.73318704590201,9.209807429171633,0.06
1/20,2/20,1150,57500,90.22947430610657,1245.2714301347733,38.67869287356734,7.6778510101139545,0.07
1/20,3/20,1200,60000,90.57134747505188,2646.7129623889923,54.22894390486181,4.8657469258178025,0.13
1/20,4/20,1250,62500,89.70947623252869,1569.6346620321274,32.49544835835695,6.927057315828279,0.09
1/20,5/20,1300,65000,89.47134685516357,1648.2248748540878,39.622956324368715,8.60349138820311,0.1
1/20,6/20,1350,67500,90.4470739364624,1634.5237178206444,63.30132757127285,12.40679264132632,0.05
1/20,7/20,1400,70000,89.76567029953003,1587.2815021276474,57.22052909806371,6.051301852043252,0.14
1/20,8/20,1450,72500,90.33812999725342,1707.5772635936737,27.71329769399017,6.002072998089716,0.03
1/20,9/20,1500,75000,90.07124471664429,1475.9388521909714,37.38965123705566,9.793111736129504,0.06
1/20,10/20,1550,77500,90.7414972782135,2937.753416776657,53.16434411145747,16.914203261956573,0.05
1/20,11/20,1600,80000,89.74234104156494,2738.92890393734,58.5336996242404,14.364023084985092,0.06
1/20,12/20,1650,82500,90.27108693122864,1915.3835718035698,56.66115478426218,11.501113109465223,0.05
1/20,13/20,1700,85000,89.55010676383972,2770.8753064870834,45.06940048933029,11.132593703339808,0.08
1/20,14/20,1750,87500,88.70712733268738,2203.8904626369476,55.24099690839648,15.631417064054403,0.06
1/20,15/20,1800,90000,88.72183012962341,1733.3222011327744,49.66663213074207,5.543177662126254,0.09
1/20,16/20,1850,92500,90.3340516090393,2742.570504307747,77.34409822896123,24.910825447528623,0.07
1/20,17/20,1900,95000,90.35107183456421,1571.017362177372,40.131389238871634,7.336932500416879,0.11
1/20,18/20,1950,97500,91.13042259216309,1605.4388546943665,88.96941465511918,12.74101884017,0.05
1/20,19/20,2000,100000,90.92978048324585,1723.518126130104,87.7244332768023,9.838811134337448,0.03
2/20,0/20,2050,102500,90.27569270133972,1085.8665443658829,46.766513938084245,7.950885800062679,0.06
2/20,1/20,2100,105000,88.99656820297241,1332.3309016227722,50.65818244218826,7.790846998861525,0.1
2/20,2/20,2150,107500,90.1996750831604,1296.3611770272255,47.09919849410653,10.313663570326753,0.1
2/20,3/20,2200,110000,89.44184684753418,1931.9409626722336,46.88941963762045,7.852832669916097,0.1
2/20,4/20,2250,112500,89.91989588737488,1573.5651893019676,38.14524696953595,11.109618823800702,0.05
2/20,5/20,2300,115000,90.71278929710388,1984.0096482038498,37.838738394901156,8.308012437017169,0.1
2/20,6/20,2350,117500,89.4232611656189,1601.723199903965,51.11140886135399,4.552199459954863,0.08
2/20,7/20,2400,120000,89.66642546653748,2306.413568854332,23.10200996696949,4.9385650480980985,0.08
2/20,8/20,2450,122500,89.45008254051208,2621.210010290146,43.52968193590641,5.511742276255973,0.04
2/20,9/20,2500,125000,89.20372128486633,2223.028874874115,49.631923228502274,8.571053065301385,0.05
2/20,10/20,2550,127500,92.10304689407349,2678.4798188209534,69.23388703167439,15.508176730829291,0.06
