Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,23.893036365509033,,,,0.09
0/20,1/20,100,5000,29.919761419296265,,,,0.06
0/20,2/20,150,7500,29.29659652709961,,,,0.02
0/20,3/20,200,10000,28.377988576889038,5.30657459795475,0.22043121326714754,2.80025814473629,0.03
0/20,4/20,250,12500,91.04723048210144,306.9375293403864,11.434879545588046,7.811177598021459,0.03
0/20,5/20,300,15000,99.54928517341614,651.6718288958073,6.362205802230164,4.918720698449761,0.03
0/20,6/20,350,17500,95.4345178604126,748.7957514226437,8.552004925673828,2.496013940050034,0.04
0/20,7/20,400,20000,95.14200901985168,1520.8092802762985,23.368541985284537,14.801765320298728,0.11
0/20,8/20,450,22500,95.11997890472412,1283.788011431694,36.371728613972664,9.72375064814696,0.06
0/20,9/20,500,25000,95.73450493812561,1472.3009935617447,28.247251448221505,9.19702232722193,0.12
0/20,10/20,550,27500,96.54245591163635,927.8985968232155,21.52817011810839,7.799697410344379,0.08
0/20,11/20,600,30000,98.94737839698792,1754.572875738144,51.22675280459225,17.496630210545845,0.06
0/20,12/20,650,32500,94.30646443367004,1929.8874386548996,27.198640765622258,12.707062113913707,0.04
0/20,13/20,700,35000,94.83704710006714,1337.289487540722,57.41782991588116,10.711557917646132,0.06
0/20,14/20,750,37500,96.11970067024231,2046.333576798439,52.79406187310815,4.6843158701085486,0.08
0/20,15/20,800,40000,96.23495149612427,1787.3077268004417,53.36202437989414,8.494713903055526,0.04
0/20,16/20,850,42500,93.9172477722168,2193.7005029320717,41.392872175201774,7.569953640864696,0.11
0/20,17/20,900,45000,94.70216298103333,2311.8976222276688,76.02241454273462,15.190334415528923,0.04
0/20,18/20,950,47500,99.94322538375854,2233.6419217586517,56.33195988088846,14.606206017662771,0.04
0/20,19/20,1000,50000,96.80644583702087,1714.7474964261055,61.64588249102235,12.570113052730449,0.06
1/20,0/20,1050,52500,96.6326596736908,995.2528950572014,42.76995840482414,7.5921617415733635,0.03
1/20,1/20,1100,55000,96.94469380378723,1599.3382158875465,76.6253569945693,8.159956045565195,0.06
1/20,2/20,1150,57500,97.83262205123901,1925.231549024582,83.9682638309896,8.115221910586115,0.06
1/20,3/20,1200,60000,95.47604751586914,1500.2846917510033,62.751016141846776,8.6799584395485,0.08
1/20,4/20,1250,62500,99.16503024101257,1765.4435828328133,44.249299578368664,5.624541042372584,0.04
1/20,5/20,1300,65000,93.9054172039032,1368.9097868204117,50.351697165519,6.794847413082607,0.06
1/20,6/20,1350,67500,94.35802507400513,2287.8115833997726,46.53356298804283,11.284606598550454,0.04
1/20,7/20,1400,70000,93.47601294517517,1635.7194720506668,68.01017855107784,5.328084676846629,0.05
1/20,8/20,1450,72500,92.70653939247131,2462.3107120990753,49.604045862331986,8.739500680938363,0.03
1/20,9/20,1500,75000,94.10000562667847,1956.4855626821518,59.63672452792525,16.007317865034565,0.1
1/20,10/20,1550,77500,94.35561108589172,1792.7863634824753,33.275585509836674,5.7843539146124385,0.08
1/20,11/20,1600,80000,95.84297585487366,1258.329917371273,35.80519661307335,3.8822964097489603,0.08
1/20,12/20,1650,82500,95.31675696372986,1873.222268462181,27.543248028494418,6.707668453862425,0.05
1/20,13/20,1700,85000,94.75833916664124,2696.985409975052,67.27210969477892,25.6874394279439,0.05
1/20,14/20,1750,87500,94.08617186546326,1615.9475750923157,47.45943592302501,8.85333567444468,0.1
1/20,15/20,1800,90000,94.78045201301575,2457.041423678398,55.031977443024516,6.669931257900316,0.07
1/20,16/20,1850,92500,93.84027814865112,1326.5064136981964,43.10406446829438,10.138121087802574,0.06
1/20,17/20,1900,95000,94.13912677764893,2534.155580639839,35.31202407181263,5.871853941702284,0.05
1/20,18/20,1950,97500,94.83394145965576,1807.3247300982475,56.546810142695904,12.05118281772593,0.08
1/20,19/20,2000,100000,95.9036922454834,1163.5600216388702,42.94693651795387,8.567812343302649,0.08
2/20,0/20,2050,102500,95.62231492996216,1832.9049526453018,61.38324861600995,7.117398326052353,0.06
2/20,1/20,2100,105000,95.97723150253296,1837.9032508730888,60.36213866621256,9.23865923791891,0.06
2/20,2/20,2150,107500,94.76035070419312,2057.9911370277405,51.07067561149597,6.3907273670774885,0.08
2/20,3/20,2200,110000,96.53521943092346,2141.2157735824585,50.536018293350935,6.109318720176816,0.04
