Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,23.40111494064331,,,,0.05
0/20,1/20,100,5000,28.035617351531982,,,,0.06
0/20,2/20,150,7500,28.15918779373169,,,,0.03
0/20,3/20,200,10000,27.605368852615356,3.4466299675405025,0.14009768539108336,3.3210916817188263,0.05
0/20,4/20,250,12500,91.65675139427185,311.63100519031286,1.3176467516459525,15.01083987718448,0.06
0/20,5/20,300,15000,94.11601042747498,629.1355089247227,2.804386934847571,11.236343828262761,0.05
0/20,6/20,350,17500,94.148362159729,927.5418936014175,8.651213026605546,18.76145451515913,0.07
0/20,7/20,400,20000,93.63249254226685,1274.1509490013123,16.177538701565936,22.535485244356096,0.03
0/20,8/20,450,22500,92.48569750785828,1515.5421348810196,20.47316406806931,19.886677973205224,0.04
0/20,9/20,500,25000,92.60983991622925,1733.5030806064606,27.40288187097758,18.778049354907125,0.12
0/20,10/20,550,27500,93.364253282547,1877.8920789957047,26.467110814526677,32.35437713796273,0.02
0/20,11/20,600,30000,96.48514318466187,2100.640808224678,32.64753595739603,33.45966892084107,0.06
0/20,12/20,650,32500,95.05681157112122,2238.4979664087296,35.3417406398803,28.918104595970362,0.1
0/20,13/20,700,35000,93.97731041908264,2125.43208694458,38.757843716070056,52.33825244521722,0.09
0/20,14/20,750,37500,95.71084475517273,2144.785653114319,43.94657049141824,40.05689867120236,0.11
0/20,15/20,800,40000,97.49708461761475,2064.418836236,47.01917129382491,48.72183524444699,0.03
0/20,16/20,850,42500,97.39274001121521,2150.5872254371643,48.69327052496374,37.80277996743098,0.07
0/20,17/20,900,45000,98.42263627052307,2131.6800059080124,48.288627626374364,35.103968815878034,0.08
0/20,18/20,950,47500,96.60791420936584,2125.2720386981964,46.195644007995725,33.80756822740659,0.04
0/20,19/20,1000,50000,96.1690685749054,2286.6220024824142,51.63254863023758,29.267972534522414,0.06
1/20,0/20,1050,52500,95.44393563270569,2266.0616260766983,47.88699229620397,33.020677322521806,0.09
1/20,1/20,1100,55000,95.90219235420227,2203.168231844902,43.71835177205503,30.60238209273666,0.11
1/20,2/20,1150,57500,96.19410800933838,2403.1387816667557,48.38934028893709,40.58251865580678,0.07
1/20,3/20,1200,60000,96.27387142181396,2286.476791024208,38.95924009010196,50.45613295864314,0.06
