Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,14.13240909576416,,,,0.05
0/20,1/20,100,5000,16.798518419265747,,,,0.03
0/20,2/20,150,7500,16.885268926620483,,,,0.04
0/20,3/20,200,10000,16.57166814804077,4.393035292625427,0.18419586052186787,3.395520158112049,0.02
0/20,4/20,250,12500,44.91646909713745,383.4080545902252,1.2132256707991473,22.587414987850934,0.03
0/20,5/20,300,15000,44.451712131500244,750.5152078270912,1.8925045018550009,16.3924684941303,0.04
0/20,6/20,350,17500,44.67409420013428,1064.293390095234,9.302663531911094,28.502428684849292,0.02
0/20,7/20,400,20000,44.84764122962952,1288.465590953827,17.432951922528446,43.00446788407862,0.04
0/20,8/20,450,22500,45.46104407310486,1494.1107927560806,21.434024836868048,60.953845819458365,0.06
0/20,9/20,500,25000,45.53162121772766,1663.2749833464622,25.9591365987435,66.86741941794753,0.02
0/20,10/20,550,27500,45.55194902420044,1809.8314298391342,28.16694299504161,84.23089779540896,0.07
0/20,11/20,600,30000,45.37276339530945,1918.8264932632446,29.810775578022003,91.35605108365417,0.05
0/20,12/20,650,32500,45.122962951660156,2105.0334305763245,28.792842069640756,115.94649530015886,0.05
0/20,13/20,700,35000,45.314231395721436,2222.9997645020485,35.365467390976846,156.41539973765612,0.06
0/20,14/20,750,37500,45.27721071243286,2327.8400877714157,41.14959587715566,178.93219299986959,0.07
0/20,15/20,800,40000,45.589563846588135,2369.890214562416,46.59933052584529,189.46516251936555,0.04
0/20,16/20,850,42500,45.8876736164093,2373.8791383504868,54.38342944160104,195.31393276527524,0.05
0/20,17/20,900,45000,46.036757469177246,2405.0021126270294,57.8307293318212,231.5645811520517,0.03
0/20,18/20,950,47500,45.81257152557373,2377.354283809662,57.21814801171422,248.56610524654388,0.07
0/20,19/20,1000,50000,45.521448612213135,2356.8422189950943,52.92737259529531,257.26306427270174,0.07
1/20,0/20,1050,52500,46.467429876327515,2338.735030770302,52.627641098573804,275.56919560581446,0.09
1/20,1/20,1100,55000,46.16965103149414,2329.5662540197372,50.9884154740721,274.8432350717485,0.07
1/20,2/20,1150,57500,45.67229890823364,2401.6595141887665,51.45893996953964,276.40390130877495,0.04
1/20,3/20,1200,60000,45.81953835487366,2439.6374549865723,52.9299356341362,295.28467160463333,0.05
1/20,4/20,1250,62500,46.50617814064026,2415.48785340786,53.55193726532161,297.10501584783196,0.05
1/20,5/20,1300,65000,46.00840973854065,2391.791779279709,54.4511683806777,326.1951028779149,0.03
1/20,6/20,1350,67500,46.16193175315857,2383.779809355736,56.24876273423433,304.2668531425297,0.08
1/20,7/20,1400,70000,45.813584327697754,2369.2105605602264,58.54050612449646,341.3840536773205,0.07
1/20,8/20,1450,72500,45.856849670410156,2385.19414293766,57.1314601264894,356.2297638505697,0.09
1/20,9/20,1500,75000,45.802778482437134,2394.279010415077,54.486830024048686,357.5576377734542,0.02
1/20,10/20,1550,77500,45.61672067642212,2409.8868567943573,52.67404830828309,342.56418526917696,0.06
1/20,11/20,1600,80000,46.08244323730469,2448.899811387062,54.17179155908525,361.76904083788395,0.12
1/20,12/20,1650,82500,45.91471886634827,2522.885400533676,55.20894402265549,415.1989069804549,0.08
1/20,13/20,1700,85000,46.06941604614258,2522.857503771782,59.16984252631664,395.9720300883055,0.09
1/20,14/20,1750,87500,45.729777574539185,2497.0645965337753,64.01808937266469,375.67603877186775,0.06
1/20,15/20,1800,90000,45.950024366378784,2412.3692185878754,65.84710628166795,430.50291573256254,0.09
1/20,16/20,1850,92500,45.462764501571655,2433.668199658394,65.62965386733413,434.2205632403493,0.08
1/20,17/20,1900,95000,45.53062200546265,2408.885039329529,65.06147154420614,419.55731812119484,0.13
1/20,18/20,1950,97500,45.677590131759644,2400.831990838051,65.62910030037165,409.5327285528183,0.1
1/20,19/20,2000,100000,45.5447793006897,2392.7546434402466,67.73018045350909,448.9809333086014,0.11
2/20,0/20,2050,102500,45.93319606781006,2391.9712439775467,68.50179955363274,463.56231316924095,0.18
2/20,1/20,2100,105000,45.68773913383484,2381.741420984268,67.17341075092554,444.86211766302586,0.13
2/20,2/20,2150,107500,45.84476065635681,2379.133377313614,67.81790613010526,461.0877194330096,0.09
2/20,3/20,2200,110000,46.257710456848145,2377.364071726799,67.70851802453399,447.20178067684174,0.19
2/20,4/20,2250,112500,46.232805252075195,2350.829432964325,70.39616186916828,466.0667668133974,0.2
2/20,5/20,2300,115000,46.42654371261597,2340.984847187996,70.55546053871512,452.5556071922183,0.11
2/20,6/20,2350,117500,46.66055727005005,2317.2680130004883,71.9593551568687,476.62971483170986,0.11
2/20,7/20,2400,120000,46.137048959732056,2327.603170156479,71.93511712923646,458.42955555021763,0.17
2/20,8/20,2450,122500,46.813353538513184,2310.5055887699127,69.28104259446263,474.26339281350374,0.16
2/20,9/20,2500,125000,46.80104207992554,2341.6569817066193,69.12596526741982,469.13238537311554,0.23
2/20,10/20,2550,127500,46.43613266944885,2343.5919954776764,73.38152243569493,500.88152983784676,0.27
2/20,11/20,2600,130000,46.78883481025696,2305.267672419548,78.80864924937487,472.78670129179955,0.2
2/20,12/20,2650,132500,46.909615993499756,2296.0485405921936,80.81425355002284,484.7693948224187,0.16
