Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,17.443378448486328,,,,0.04
0/20,1/20,100,5000,17.387848615646362,,,,0.03
0/20,2/20,150,7500,17.371599912643433,,,,0.03
0/20,3/20,200,10000,17.707010746002197,3.952679054811597,0.17614704673178494,2.9045251458883286,0.03
0/20,4/20,250,12500,50.210320234298706,390.4148996844888,1.0717310401960276,12.181670956895687,0.02
0/20,5/20,300,15000,50.12156963348389,818.6083639860153,0.6600498676998541,8.751702480018139,0.02
0/20,6/20,350,17500,50.73141670227051,1226.9690534472466,1.7807173036271706,14.2319402389694,0.06
0/20,7/20,400,20000,51.2194881439209,1631.2631281614304,5.462644876213744,19.960882648127154,0.06
0/20,8/20,450,22500,51.01445531845093,1990.5094150304794,9.348652308864985,19.193024366162717,0.02
0/20,9/20,500,25000,51.06470704078674,2322.1939162015915,12.784694487578236,25.2099669133313,0.04
0/20,10/20,550,27500,51.5543372631073,2602.96462059021,16.578677900368348,28.812229256145656,0.05
0/20,11/20,600,30000,51.10865640640259,2836.9413557052612,19.431611423846334,28.581168001051992,0.05
0/20,12/20,650,32500,51.221370697021484,3085.079131126404,19.79747210489586,28.746711764018983,0.05
0/20,13/20,700,35000,51.40669631958008,3366.115387201309,16.59759835479781,34.33482683170587,0.06
0/20,14/20,750,37500,51.86518335342407,3605.6069979667664,14.753937112167478,35.375152816064656,0.05
0/20,15/20,800,40000,51.370787382125854,3843.6108887195587,15.039157107938081,39.1024756859988,0.04
0/20,16/20,850,42500,51.845824003219604,4085.9935195446014,18.092562877573073,42.21491064783186,0.05
0/20,17/20,900,45000,52.190659284591675,4269.148957967758,19.863425484858453,49.64719411637634,0.08
0/20,18/20,950,47500,52.94056248664856,4429.36274933815,21.747839782387018,63.637769147753716,0.08
0/20,19/20,1000,50000,51.88494324684143,4629.034734964371,24.955417226999998,71.68518615141511,0.08
1/20,0/20,1050,52500,52.67441439628601,4691.85809636116,24.38390300096944,82.05012206546962,0.03
1/20,1/20,1100,55000,52.98167014122009,4859.012623310089,27.18993009161204,88.72130964323878,0.08
1/20,2/20,1150,57500,53.159483432769775,5016.314220428467,25.397109086625278,86.37923656683415,0.08
1/20,3/20,1200,60000,52.63328695297241,5111.864906549454,29.198081606067717,91.31357578281313,0.05
1/20,4/20,1250,62500,52.021817445755005,5246.510156154633,33.47533626668155,85.50232191383839,0.01
1/20,5/20,1300,65000,52.232529640197754,5335.976394414902,36.27959683444351,100.02943608351052,0.01
1/20,6/20,1350,67500,51.66809272766113,5339.052778244019,35.87002902664244,118.07147979363799,0.05
1/20,7/20,1400,70000,52.86746048927307,5345.953297138214,36.536865536123514,113.19080865755677,0.01
1/20,8/20,1450,72500,52.787638425827026,5363.033960103989,32.4993939679116,106.96657326631248,0.06
1/20,9/20,1500,75000,51.591721534729004,5538.63095164299,28.722802387550473,114.54775692336261,0.03
1/20,10/20,1550,77500,51.601311445236206,5578.446510314941,27.16259569581598,111.58254085481167,0.06
1/20,11/20,1600,80000,52.1182336807251,5689.206546545029,29.532122968696058,111.94546650350094,0.04
1/20,12/20,1650,82500,51.92811322212219,5773.2629570961,29.482974786311388,132.2250643018633,0.08
1/20,13/20,1700,85000,51.58784508705139,5858.008858203888,30.114768262952566,124.29927062615752,0.05
1/20,14/20,1750,87500,52.810603857040405,5893.589881658554,26.796737499535084,119.05724244192243,0.04
1/20,15/20,1800,90000,51.7111451625824,6016.019661903381,27.45958834607154,130.05467726662755,0.03
1/20,16/20,1850,92500,51.184046268463135,6075.50088596344,28.762435578741133,116.98126594163477,0.05
1/20,17/20,1900,95000,51.99196434020996,6169.271152019501,30.390404384583235,136.58804507739842,0.01
1/20,18/20,1950,97500,52.165833950042725,6206.262361764908,34.51514272671193,132.12887233123183,0.01
1/20,19/20,2000,100000,51.74419188499451,6180.90364408493,38.662017019465566,137.9166412781924,0.04
2/20,0/20,2050,102500,49.66397666931152,6218.974702596664,40.361235877498984,134.98832009360194,0.05
2/20,1/20,2100,105000,50.88935089111328,6217.790352344513,40.15889057703316,131.68423867225647,0.03
2/20,2/20,2150,107500,49.748849868774414,6241.7882168293,39.317149735987186,143.93392438814044,0.03
2/20,3/20,2200,110000,49.64280152320862,6249.231001138687,38.235090339556336,143.57714166678488,0.05
2/20,4/20,2250,112500,49.690207719802856,6271.4841022491455,35.76258154772222,129.7729799542576,0.05
2/20,5/20,2300,115000,49.59995937347412,6252.071961402893,35.476142225787044,154.0260968413204,0.07
2/20,6/20,2350,117500,49.62420392036438,6292.13902258873,34.59263819642365,137.43700022436678,0.04
2/20,7/20,2400,120000,49.58432579040527,6368.211537837982,33.94230913091451,134.22439671121538,0.04
2/20,8/20,2450,122500,50.03656482696533,6444.747061729431,33.6713681248948,139.86043766513467,0.08
2/20,9/20,2500,125000,50.01466488838196,6443.104698896408,35.84991200082004,151.89326063543558,0.05
2/20,10/20,2550,127500,49.78262948989868,6443.482118844986,37.40468200854957,150.10989060625434,0.03
2/20,11/20,2600,130000,50.10247087478638,6446.560101032257,36.02222118526697,139.37697584554553,0.04
2/20,12/20,2650,132500,50.79268002510071,6459.76011133194,33.759588016197085,145.1128542367369,0.07
2/20,13/20,2700,135000,50.67479872703552,6531.922860622406,33.18440701626241,155.01961265318096,0.04
2/20,14/20,2750,137500,50.010720014572144,6514.48250579834,35.2007967736572,150.62377124093473,0.1
2/20,15/20,2800,140000,50.90173840522766,6556.5896525383,34.162576254457235,152.43894083425403,0.06
2/20,16/20,2850,142500,50.23103070259094,6610.8386907577515,33.71708105690777,143.69611587375402,0.05
2/20,17/20,2900,145000,50.21367883682251,6598.097050189972,31.618318187072873,148.3298311419785,0.05
2/20,18/20,2950,147500,50.6831476688385,6605.348265647888,33.76448925770819,139.90758454427123,0.09
2/20,19/20,3000,150000,51.143951416015625,6607.598144292831,35.618094677105546,149.96959802508354,0.06
3/20,0/20,3050,152500,51.04668140411377,6688.564258575439,36.6868560872972,174.41607482731342,0.05
3/20,1/20,3100,155000,50.30222296714783,6692.646997928619,38.51481028273702,158.04685775190592,0.08
3/20,2/20,3150,157500,50.84094953536987,6675.727746963501,39.22157542966306,183.64954935386777,0.05
3/20,3/20,3200,160000,50.797760009765625,6707.273097038269,40.92380788177252,178.12942267209291,0.07
3/20,4/20,3250,162500,50.39039611816406,6723.602557420731,42.01705060340464,170.4637326709926,0.04
3/20,5/20,3300,165000,50.451637983322144,6654.409358501434,44.91804674640298,183.63120536133647,0.07
3/20,6/20,3350,167500,51.444435358047485,6548.039698600769,49.87161575257778,181.90889700688422,0.03
3/20,7/20,3400,170000,50.25439214706421,6461.480867385864,50.543834049254656,180.86526364833117,0.07
3/20,8/20,3450,172500,50.79432773590088,6402.605986118317,54.49358791857958,178.02611753344536,0.04
3/20,9/20,3500,175000,51.24028468132019,6271.208356142044,55.35709925368428,181.33099784888327,0.06
3/20,10/20,3550,177500,51.29578876495361,6112.118407964706,54.56033439934254,208.76660627871752,0.06
3/20,11/20,3600,180000,50.93490934371948,6078.114906311035,53.081184677779675,199.2308469079435,0.1
3/20,12/20,3650,182500,50.90854024887085,5992.122623682022,49.6175171174109,188.7419537678361,0.07
3/20,13/20,3700,185000,51.70138883590698,5979.479815006256,48.29566468112171,187.30816880986094,0.11
3/20,14/20,3750,187500,50.9030077457428,6053.454030752182,46.027975130826235,218.58525045961142,0.09
3/20,15/20,3800,190000,50.631234884262085,6004.846968889236,45.62461647763848,205.26346918568015,0.09
3/20,16/20,3850,192500,51.19143104553223,6009.207354545593,47.57537090778351,193.49170831218362,0.06
3/20,17/20,3900,195000,51.00101590156555,5990.451945066452,49.34879371523857,200.00401344895363,0.06
3/20,18/20,3950,197500,50.83591389656067,5981.428795337677,47.855888022109866,179.92043861746788,0.08
3/20,19/20,4000,200000,50.15621519088745,6014.721855640411,45.33511409908533,186.45132551155984,0.04
4/20,0/20,4050,202500,51.45922327041626,6005.208599567413,42.47764540463686,185.12807029671967,0.09
4/20,1/20,4100,205000,50.24480676651001,6062.511874437332,42.09360739775002,202.31116396561265,0.04
4/20,2/20,4150,207500,50.55618500709534,6133.58694601059,42.612620301544666,203.63948410004377,0.16
4/20,3/20,4200,210000,50.6607825756073,6104.984210014343,44.53575994819403,206.1098186634481,0.08
4/20,4/20,4250,212500,50.67967629432678,6149.51929974556,47.62683225609362,223.4546876847744,0.09
4/20,5/20,4300,215000,50.13754391670227,6070.040914773941,48.82455402985215,230.27584917470813,0.08
