Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,21.74393367767334,,,,0.08
0/20,1/20,100,5000,21.537006855010986,,,,0.11
0/20,2/20,150,7500,22.01464605331421,,,,0.08
0/20,3/20,200,10000,23.558085441589355,7.715835422277451,0.14827257161960006,3.51205313205719,0.08
0/20,4/20,250,12500,54.989633321762085,538.0416758954525,2.9868849257472903,14.824041703017429,0.07
0/20,5/20,300,15000,56.34835624694824,880.4417501091957,3.7630263386527076,10.729981516255066,0.1
0/20,6/20,350,17500,56.378841400146484,1220.2282837033272,8.905129348509945,16.413223414914683,0.1
0/20,7/20,400,20000,56.23920726776123,1546.6355522871017,10.840921062743291,22.82663353974931,0.05
0/20,8/20,450,22500,56.80323791503906,1857.305510878563,12.346232264302671,25.911205601878464,0.04
0/20,9/20,500,25000,56.9474036693573,2144.2710362672806,14.521394089795649,23.11990826530382,0.1
0/20,10/20,550,27500,57.81407642364502,2465.3135067224503,17.175539427436888,38.53245378145948,0.15
0/20,11/20,600,30000,57.83887791633606,2739.1691304445267,19.025666466448456,40.22883884329349,0.07
0/20,12/20,650,32500,57.1289644241333,3026.7183187007904,18.265045175794512,40.646085659042,0.06
0/20,13/20,700,35000,57.83012247085571,3270.2091608047485,20.78743422124535,55.40587702952325,0.06
0/20,14/20,750,37500,57.280272245407104,3476.527765274048,23.65784512180835,51.71356356050819,0.07
0/20,15/20,800,40000,57.42592811584473,3698.2913937568665,26.287343808449805,72.25414069369435,0.1
0/20,16/20,850,42500,57.02555990219116,3869.5672466754913,26.859210026450455,64.44665540382266,0.06
0/20,17/20,900,45000,58.82484269142151,3982.8321721553802,30.479217750951648,69.83319750241935,0.13
0/20,18/20,950,47500,56.653831243515015,4123.3920130729675,30.40902959369123,82.88037418015301,0.09
0/20,19/20,1000,50000,56.83406925201416,4275.054749011993,29.524552133865654,76.71688551269472,0.1
1/20,0/20,1050,52500,57.180158853530884,4409.268912315369,30.257199788466096,96.00317911989987,0.06
1/20,1/20,1100,55000,58.332082748413086,4492.919036149979,31.575431302189827,92.86395946703851,0.06
1/20,2/20,1150,57500,59.0978217124939,4651.596120595932,31.799389706924558,101.77304603718221,0.1
1/20,3/20,1200,60000,59.828041315078735,4722.981513738632,32.085690442472696,108.8830579444766,0.09
1/20,4/20,1250,62500,59.26291084289551,4813.28425860405,35.52999175712466,116.17756120488048,0.1
1/20,5/20,1300,65000,58.94812822341919,4933.796373605728,39.44230248965323,139.28814167901874,0.05
1/20,6/20,1350,67500,58.88030505180359,4956.113345384598,38.98732469603419,129.52993296459317,0.02
