Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,21.540546894073486,,,,0.0
0/20,1/20,100,5000,20.872894525527954,,,,0.01
0/20,2/20,150,7500,21.076592445373535,,,,0.0
0/20,3/20,200,10000,21.90801453590393,5.492153104394674,0.19688139390200377,3.1226431131362915,0.0
0/20,4/20,250,12500,55.14294505119324,533.4113536477089,1.7883865259354934,19.13220010884106,0.0
0/20,5/20,300,15000,54.50532293319702,1041.1302279233932,1.4445831221528351,14.015616707736626,0.0
0/20,6/20,350,17500,55.29197573661804,1516.6257907152176,4.745681679109111,20.505842108745128,0.0
0/20,7/20,400,20000,55.860660791397095,1959.6014137268066,11.715040527749807,29.919400565791875,0.0
0/20,8/20,450,22500,56.341758012771606,2374.3206008672714,16.668646353529766,32.616682237014174,0.0
0/20,9/20,500,25000,56.189035415649414,2737.4390149116516,18.71603293530643,37.332311294041574,0.0
0/20,10/20,550,27500,57.22024583816528,3111.192369222641,20.958742986433208,43.97448786813766,0.0
0/20,11/20,600,30000,57.26950120925903,3451.6628909111023,21.597880727611482,57.79784023668617,0.01
0/20,12/20,650,32500,56.372740745544434,3853.793247461319,24.23806854803115,74.10695218108594,0.01
0/20,13/20,700,35000,57.22903370857239,4167.130125284195,30.128997340798378,95.15197106823325,0.04
0/20,14/20,750,37500,56.594505071640015,4471.43665099144,35.40127740614116,118.14014229550958,0.0
0/20,15/20,800,40000,56.595319509506226,4776.436827421188,38.54988601617515,147.4358372911811,0.03
0/20,16/20,850,42500,56.81147742271423,5017.95459151268,45.09949818812311,171.96419797465205,0.03
0/20,17/20,900,45000,56.95084810256958,5223.53608751297,52.26446713320911,197.23649447783828,0.01
0/20,18/20,950,47500,56.16794776916504,5342.170547962189,57.61546077206731,240.23478485643864,0.03
0/20,19/20,1000,50000,57.12624168395996,5559.100522279739,64.03373309224844,300.7210593596101,0.03
1/20,0/20,1050,52500,56.89007782936096,5675.390418767929,69.56749112904072,320.3838620893657,0.02
1/20,1/20,1100,55000,57.69293260574341,5717.656402587891,70.65833087265491,337.1365978643298,0.05
1/20,2/20,1150,57500,57.08421349525452,5869.136270046234,70.53962602093816,403.8580364510417,0.07
1/20,3/20,1200,60000,58.4483368396759,5974.915009975433,72.9843004271388,421.8323196619749,0.06
1/20,4/20,1250,62500,57.68713665008545,6034.281640529633,75.20835390686989,463.08086812496185,0.09
1/20,5/20,1300,65000,57.73186945915222,6078.954710006714,82.00045573338866,516.3548567295074,0.09
1/20,6/20,1350,67500,58.134910106658936,6211.920062541962,86.86963185295463,507.12231477349997,0.13
1/20,7/20,1400,70000,57.96546292304993,6264.8489809036255,83.93323206156492,519.3601387739182,0.06
1/20,8/20,1450,72500,58.160935163497925,6306.191484928131,85.88008365407586,566.8620349317789,0.04
1/20,9/20,1500,75000,57.74988555908203,6355.44846868515,88.05399851128459,557.9552329927683,0.06
1/20,10/20,1550,77500,57.952494621276855,6333.629646778107,86.86043108999729,523.6339574605227,0.14
1/20,11/20,1600,80000,57.60317921638489,6373.143131732941,83.15144097432494,543.291169822216,0.18
1/20,12/20,1650,82500,58.2812602519989,6440.595235824585,80.93715939298272,535.1384133845568,0.13
1/20,13/20,1700,85000,57.7859365940094,6466.3522300720215,84.75458106398582,514.4830186367035,0.07
1/20,14/20,1750,87500,58.815361976623535,6509.929599761963,91.63959869742393,524.3206656873226,0.12
1/20,15/20,1800,90000,57.945544481277466,6508.801633834839,97.67751886695623,555.2595518678427,0.09
1/20,16/20,1850,92500,58.004902601242065,6514.8252029418945,99.82993903756142,566.0510909110308,0.15
1/20,17/20,1900,95000,57.38813090324402,6460.336843013763,106.18455694615841,569.2103719264269,0.16
1/20,18/20,1950,97500,58.20157432556152,6325.326414108276,108.40538301318884,562.3358777016401,0.07
1/20,19/20,2000,100000,57.711082220077515,6252.941318511963,108.86419171094894,541.8354906886816,0.08
2/20,0/20,2050,102500,58.22784352302551,6164.185074329376,106.47162329405546,545.0584168434143,0.15
2/20,1/20,2100,105000,57.23682260513306,6164.545809268951,101.30768725275993,582.6203947216272,0.19
2/20,2/20,2150,107500,56.58869743347168,6258.054112434387,98.11817296594381,540.1283741444349,0.07
2/20,3/20,2200,110000,56.98124027252197,6353.81032037735,91.7012564316392,557.2330955266953,0.17
2/20,4/20,2250,112500,57.350815773010254,6446.235856056213,90.00806964188814,562.8250789940357,0.2
2/20,5/20,2300,115000,56.74374055862427,6621.115508079529,85.57885704189539,577.2578305155039,0.16
